,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1506219709883333300,83.20943450927734,87.477783203125,330.9438781738281,78.39225769042969,206.90855407714844,93.4277114868164,111.4466781616211,284.0966796875,351.6552429199219,283.5760192871094,231.66156005859375,284.67401123046875,21894.64515854501,11758.135965766856,24852.147754430775,20793.51555044584,7861.928475953311,22230.164378781337,24152.792479953485,11136.126345398323,26596.441389034968,False,False
1506219709891666633,83.25324249267578,87.38553619384766,330.882568359375,78.47364044189453,206.76870727539062,93.32693481445312,111.403564453125,284.0988464355469,351.611572265625,283.5650329589844,231.61932373046875,284.6665954589844,21889.517704703998,11712.631933680284,24826.13002782385,20811.87208302812,7876.19296178565,22252.380438317312,24107.125524498897,11164.910138649644,26567.06079825294,False,False
1506219709899999966,83.24683380126953,87.28370666503906,330.767333984375,78.63550567626953,206.661865234375,93.22776794433594,111.36104583740234,284.0935363769531,351.5669860839844,283.5511474609375,231.57533264160156,284.6536865234375,21870.97005418241,11684.983076884137,24796.736894559584,20844.03180534197,7917.760088257218,22297.18786567729,24068.169524429242,11178.94926536093,26537.627831706777,False,False
1506219709908333299,83.24506378173828,87.3939208984375,330.7216491699219,78.7476577758789,206.69711303710938,93.27925109863281,111.31715393066406,284.0857238769531,351.5224304199219,283.5458984375,231.53036499023438,284.6481018066406,21906.579687506226,11683.31430652604,24827.365280877802,20873.217459524614,7929.317191019241,22328.575373910367,24096.62374843683,11151.178263055906,26551.761763170824,False,False
1506219709916666632,83.29656219482422,87.46642303466797,330.6830749511719,78.72645568847656,206.70870971679688,93.28015899658203,111.27479553222656,284.0849609375,351.48187255859375,283.5475158691406,231.4896240234375,284.65057373046875,21943.819499410813,11657.044657747583,24847.8953711465,20867.991008302826,7926.5050459256045,22322.690943649508,24107.24387961437,11129.36717890345,26552.25077604642,False,False
1506219709924999965,83.31688690185547,87.3584213256836,330.5825500488281,78.64678955078125,206.63601684570312,93.10755157470703,111.2353515625,284.0872497558594,351.4440612792969,283.54718017578125,231.45201110839844,284.6480407714844,21929.033629872767,11619.875416877616,24817.413657427067,20838.169530036663,7941.287917928197,22300.07540700212,24055.615330550656,11123.404722660865,26502.882136770288,False,False
1506219709933333298,83.23821258544922,87.31977844238281,330.51202392578125,78.58767700195312,206.5943603515625,93.00511169433594,111.19733428955078,284.088623046875,351.40557861328125,283.54498291015625,231.41363525390625,284.6423645019531,21911.19194415172,11630.342619049588,24806.555622454736,20817.904615524392,7946.9015329821605,22283.14153246768,24028.033176437344,11112.320642771318,26473.194903444037,False,False
1506219709941666631,83.105224609375,87.38087463378906,330.4826354980469,78.551025390625,206.5890350341797,93.0846939086914,111.16021728515625,284.0846862792969,351.3666687011719,283.5434265136719,231.37521362304688,284.639892578125,21906.714324982837,11674.990940712421,24823.56835715054,20809.40108821993,7939.693644731444,22272.626895420253,24054.804876254188,11107.839445185036,26495.61727483756,False,False
1506219709949999964,83.00215148925781,87.36164093017578,330.4202575683594,78.45172882080078,206.53201293945312,93.14497375488281,111.12345123291016,284.08087158203125,351.3294982910156,283.5453796386719,231.33799743652344,284.6421203613281,21888.07556151164,11697.602767243303,24817.771098280795,20779.74830471956,7938.854583371572,22244.62523180409,24066.726999491435,11123.439670673612,26512.982830590103,False,False
1506219709958333297,82.95025634765625,87.32381439208984,330.35980224609375,78.34676361083984,206.46446228027344,93.12464904785156,111.08600616455078,284.07763671875,351.2935485839844,283.5428771972656,231.3008270263672,284.6394348144531,21875.399618156793,11697.922079218382,24806.742821771648,20748.369900504542,7937.037628807725,22214.66677331156,24055.348420891405,11133.664115979573,26506.94747227477,False,False
1506219709966666630,82.93592071533203,87.40950012207031,330.35064697265625,78.39415740966797,206.4705047607422,93.19099426269531,111.04695892333984,284.072265625,351.2552490234375,283.5372009277344,231.26177978515625,284.63189697265625,21901.498775797438,11699.734167167459,24830.61473682523,20764.54242135285,7931.118797169313,22227.659961025463,24080.609141341403,11122.353941222094,26525.129477758896,False,False
1506219709974999963,82.9414291381836,87.4937515258789,330.3399353027344,78.48149871826172,206.4769287109375,93.23532104492188,111.0086898803711,284.0737609863281,351.21636962890625,283.5362854003906,231.22360229492188,284.63262939453125,21931.66594970727,11694.319124446665,24854.679058759706,20791.510617738513,7929.708905318232,22252.352619231446,24100.780150319537,11108.915289346765,26537.814581459384,False,False
1506219709983333296,82.94112396240234,87.4445571899414,330.3223571777344,78.47705078125,206.4083251953125,93.1434326171875,110.9717025756836,284.0762023925781,351.17889404296875,283.532470703125,231.1875457763672,284.6343688964844,21927.0013517967,11673.808513464304,24840.917726419164,20792.804898650866,7921.932440441724,22250.79210150242,24070.86653032553,11111.709981570028,26511.82215984538,False,False
1506219709991666629,82.89356994628906,87.36795806884766,330.3038330078125,78.47909545898438,206.310302734375,93.11283111572266,110.93352508544922,284.07318115234375,351.14105224609375,283.52911376953125,231.14990234375,284.63165283203125,21905.65184888245,11667.043563336805,24818.893779402133,20795.770242225684,7915.034073838882,22251.108384920284,24051.00956838633,11133.304765131368,26502.85902033793,False,False
1506219710000000000,82.77397155761719,87.36840057373047,330.2424011230469,78.52304077148438,206.26455688476562,93.21290588378906,110.89599609375,284.0697326660156,351.10455322265625,283.53106689453125,231.11160278320312,284.6339111328125,21888.762872331496,11698.326065455665,24818.71819443698,20804.110185295747,7928.5746243476715,22263.721525741737,24075.601192908194,11148.487935599134,26531.55396975763,False,False
1506219710008333333,82.68793487548828,87.36215209960938,330.21368408203125,78.55056762695312,206.2550506591797,93.2896728515625,110.86116027832031,284.0707702636719,351.0694580078125,283.53326416015625,231.07618713378906,284.6373596191406,21876.815432276402,11717.08645951082,24817.033838828094,20812.44730432764,7929.0987170340095,22271.69884090312,24100.764113293837,11146.907290651223,26553.726160202175,False,False
1506219710016666666,82.70442199707031,87.28878784179688,330.22576904296875,78.55992889404297,206.1756591796875,93.25224304199219,110.82673645019531,284.0742492675781,351.03350830078125,283.535888671875,231.04212951660156,284.6336669921875,21869.105733915814,11687.962683984068,24796.49687563535,20821.761302795196,7912.663657932859,22274.559252971783,24081.958235474493,11161.348104461016,26542.727892288935,False,False
1506219710024999999,82.7428970336914,87.26004791259766,330.2047119140625,78.58407592773438,206.0933074951172,93.21747589111328,110.79138946533203,284.07818603515625,350.99774169921875,283.5367126464844,231.0072784423828,284.6322326660156,21877.244581554613,11656.098554698165,24788.676124351565,20830.253185710382,7909.7713183499845,22281.47055491153,24063.600469709745,11177.084181044447,26532.698286378058,False,False
1506219710033333332,82.70344543457031,87.31822204589844,330.16986083984375,78.59504699707031,206.11866760253906,93.25288391113281,110.75602722167969,284.0813293457031,350.9620666503906,283.53631591796875,230.9709930419922,284.6351013183594,21891.23928877864,11665.560916718527,24805.476594902106,20833.245897667286,7910.5649235838755,22284.55007494893,24084.999848707856,11155.535409536187,26543.044060274493,False,False
1506219710041666665,82.6203842163086,87.3429946899414,330.1646728515625,78.50382232666016,206.1634979248047,93.28515625,110.72132873535156,284.0831604003906,350.9268798828125,283.5453186035156,230.9346923828125,284.6429748535156,21887.73366314155,11687.425065018306,24812.673970353095,20813.85989115421,7890.737485549823,22259.391313206637,24109.77950422018,11125.576383797154,26552.964384675026,False,False
1506219710049999998,82.58126068115234,87.2530746459961,330.1248779296875,78.36872100830078,206.10696411132812,93.20390319824219,110.6876449584961,284.08636474609375,350.89453125,283.5548095703125,230.90142822265625,284.6520080566406,21864.338171555475,11677.60038697349,24787.40878910059,20777.71178481327,7880.12195726341,22221.827761777677,24085.027266731984,11126.021190438742,26530.678204096388,False,False
1506219710058333331,82.55223083496094,87.1402587890625,330.066162109375,78.3764419555664,206.01051330566406,93.10513305664062,110.65299224853516,284.090576171875,350.8604431152344,283.553955078125,230.86767578125,284.6531066894531,21837.536324059853,11660.531432150361,24755.726327151053,20776.306812420466,7889.805659710322,22223.95010145195,24047.420041083413,11140.595193131301,26502.66537330765,False,False
