,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1529627875541666646,62.495018005371094,82.71815490722656,281.80352783203125,45.18333435058594,192.65853881835938,43.42980194091797,68.5435562133789,120.56961822509766,308.94537353515625,120.39787292480469,188.88128662109375,121.03094482421875,9917.774887600579,1050.8955763446252,9973.296357448793,4840.926291994116,2481.6901854113116,5439.977347460808,5244.9316038394145,-346.276477209143,5256.349962437991,False,False
1529627875549999979,62.502525329589844,82.64053344726562,281.6793212890625,45.18424606323242,192.5925750732422,43.34550094604492,68.55006408691406,120.57643127441406,308.95245361328125,120.39564514160156,188.89093017578125,121.03457641601562,9909.046411760923,1049.795908999218,9964.50060168514,4835.23517887945,2492.7802541990786,5439.986455019738,5235.359323902411,-338.7064307041367,5246.304346544551,False,False
1529627875558333312,62.51411437988281,82.57848358154297,281.631103515625,45.25740432739258,192.47116088867188,43.30836868286133,68.55995178222656,120.5788345336914,308.9595947265625,120.39676666259766,188.9000244140625,121.03324890136719,9901.834796450597,1048.7345607877128,9957.217307822022,4840.6943772604245,2501.5178190339366,5448.845148559922,5231.574306055426,-326.4969319687702,5241.752566304931,False,False
1529627875566666645,62.49783706665039,82.49467468261719,281.67047119140625,45.22842025756836,192.4690704345703,43.29430389404297,68.56392669677734,120.57355499267578,308.96343994140625,120.39356231689453,188.90354919433594,121.0289306640625,9890.98139360711,1051.1205394746048,9946.676194447442,4839.014449702683,2496.8496131818583,5445.21063277425,5229.720673861983,-325.86672039925475,5239.863304140978,False,False
1529627875574999978,62.48729705810547,82.43653869628906,281.7889404296875,45.174747467041016,192.52381896972656,43.25044631958008,68.55926513671875,120.56641387939453,308.95916748046875,120.39300537109375,188.89678955078125,121.02418518066406,9883.3177753405,1051.3315964303708,9939.07784324151,4838.581009638126,2483.5153245766232,5438.723614437273,5223.865599435013,-331.1319650950185,5234.35002452723,False,False
1529627875583333311,62.47877883911133,82.52738952636719,281.82464599609375,45.303890228271484,192.55477905273438,43.38652801513672,68.55754089355469,120.56982421875,308.9547119140625,120.40209197998047,188.89077758789062,121.0274429321289,9894.364875578742,1053.6932620422428,9950.312848426403,4854.524199288049,2487.4008836806147,5454.683158315282,5240.227404118124,-335.5642728484455,5250.960543375171,False,False
1529627875591666644,62.501007080078125,82.70851135253906,281.796630859375,45.433631896972656,192.58505249023438,43.556148529052734,68.56333923339844,120.57911682128906,308.9586486816406,120.40726470947266,188.8971710205078,121.03433227539062,9917.146601292596,1053.2434216318095,9972.91925249272,4867.243857218315,2497.346177956883,5470.539342531527,5260.87276988993,-339.0880251978224,5271.789353701635,False,False
1529627875599999977,62.54098892211914,82.74900817871094,281.7703857421875,45.35181427001953,192.58294677734375,43.51792526245117,68.57169342041016,120.58228302001953,308.96771240234375,120.40676879882812,188.90786743164062,121.03535461425781,9922.843084927557,1048.3094783598056,9978.064323831233,4856.9216868181275,2495.8322273850886,5460.665415417635,5256.375988769838,-337.61884364253496,5267.207516217546,False,False
1529627875608333310,62.566688537597656,82.75020599365234,281.6826171875,45.24293899536133,192.57728576660156,43.45777130126953,68.58091735839844,120.58248138427734,308.97711181640625,120.40657043457031,188.91732788085938,121.0354232788086,9923.304085726773,1045.4729268371539,9978.225173774697,4841.024299353373,2498.0499127392673,5447.547120811942,5249.201981013496,-335.7669972965046,5259.929744202818,False,False
1529627875616666643,62.58197021484375,82.80033111572266,281.62615966796875,45.0966682434082,192.6104736328125,43.43642044067383,68.58811950683594,120.58247375488281,308.98443603515625,120.40528106689453,188.92445373535156,121.03450775146484,9929.46181846457,1044.7059590671652,9984.268753657234,4822.546758595039,2495.317045887061,5429.877015028062,5246.430158794702,-337.98596361596697,5257.305766522622,False,False
1529627875624999976,62.5738639831543,82.71586608886719,281.55047607421875,44.9539680480957,192.6459503173828,43.31229782104492,68.59063720703125,120.57891845703125,308.9886474609375,120.40763092041016,188.92532348632812,121.03211212158203,9918.846580876103,1045.448674478472,9973.789672232233,4803.907229639833,2494.1707550333904,5412.8007931430175,5231.130058807438,-340.1731646151211,5242.178886120062,False,False
1529627875633333309,62.56250762939453,82.56182098388672,281.52264404296875,44.977455139160156,192.6586456298828,43.21932601928711,68.59314727783203,120.57695007324219,308.9915771484375,120.41332244873047,188.92605590820312,121.0345687866211,9899.959864737235,1045.880625573885,9955.052566730068,4805.303760679286,2498.1721372979137,5415.884808595001,5219.936165566176,-340.53974489112596,5231.032487992808,False,False
1529627875641666642,62.57301330566406,82.58362579345703,281.5575866699219,45.06761169433594,192.66061401367188,43.28784942626953,68.59950256347656,120.5821762084961,308.99639892578125,120.41363525390625,188.93463134765625,121.04027557373047,9903.079435526302,1045.4848325543335,9958.113317363139,4816.263699196289,2500.6545814681695,5426.754956326448,5228.498082746962,-340.49282466968316,5239.573223549814,False,False
1529627875649999975,62.58686828613281,82.67304229736328,281.61688232421875,45.165313720703125,192.672607421875,43.32071304321289,68.60755920410156,120.58623504638672,309.001953125,120.41019439697266,188.9449920654297,121.04112243652344,9914.241457389719,1045.648732051017,9969.23091046972,4828.915368954113,2501.475881734978,5438.36420511012,5232.494392855464,-340.90281120025514,5243.587731501029,False,False
1529627875658333308,62.59026336669922,82.63993072509766,281.5801696777344,45.259212493896484,192.7036590576172,43.212886810302734,68.61077880859375,120.58221435546875,309.0046691894531,120.40432739257812,188.9488067626953,121.0354232788086,9909.94344566501,1045.1647353466524,9964.905841014814,4836.992856343209,2509.88353970824,5449.405038645375,5219.0626049707735,-342.5193317311981,5230.290046184236,False,False
1529627875666666641,62.63669204711914,82.42432403564453,281.50604248046875,45.229347229003906,192.73434448242188,43.14350128173828,68.607177734375,120.57836151123047,309.0011291503906,120.39735412597656,188.9444580078125,121.02623748779297,9884.67913631778,1033.77385591773,9938.589940888749,4830.427540921194,2514.0349624058827,5445.49373521714,5210.077009884925,-345.1292336622813,5221.4956321785585,False,False
1529627875674999974,62.715911865234375,82.20829772949219,281.5237121582031,45.15349197387695,192.7948455810547,43.20466232299805,68.6026840209961,120.57648468017578,308.99407958984375,120.396484375,188.93563842773438,121.01910400390625,9860.114796685406,1016.6430900470558,9912.387551763446,4823.373834760029,2507.719756513107,5436.3216909095645,5216.733439024097,-351.90997066552364,5228.589523120551,False,False
1529627875683333307,62.7463493347168,82.3519287109375,281.58001708984375,45.21033477783203,192.83607482910156,43.28559112548828,68.60111999511719,120.57713317871094,308.9910888671875,120.3994369506836,188.9326171875,121.02082824707031,9877.962391770188,1012.9078102550997,9929.75947570242,4832.1603115476955,2505.9387684787057,5443.298851602886,5226.305769956684,-356.6106432997436,5238.458089170628,False,False
1529627875691666640,62.68338394165039,82.53804779052734,281.63494873046875,45.22486114501953,192.83935546875,43.34132385253906,68.60081481933594,120.58067321777344,308.9930419921875,120.3966293334961,188.9370880126953,121.02373504638672,9899.461496823904,1026.0537637828552,9952.493368662545,4835.915935947907,2502.2150301624824,5444.920843935746,5233.168052529555,-356.9696700682911,5245.328894489328,False,False
1529627875699999973,62.65187072753906,82.36356353759766,281.5888977050781,45.14014434814453,192.81503295898438,43.31243896484375,68.59994506835938,120.58035278320312,308.99468994140625,120.3909912109375,188.94029235839844,121.0215835571289,9877.958910336916,1029.1651489415424,9931.427547845291,4824.55031162832,2501.428159555664,5434.466721477918,5229.758209512365,-354.2129113057549,5241.739951246884,False,False
1529627875708333306,62.68561935424805,82.18511199951172,281.5830078125,45.067909240722656,192.71803283691406,43.23162841796875,68.60121154785156,120.57882690429688,308.9954833984375,120.38885498046875,188.94235229492188,121.01891326904297,9857.012877689029,1021.3343539920043,9909.784393899376,4816.453054915923,2497.9427963771345,5425.673989854287,5220.489016460606,-344.51892434082947,5231.844689993653,False,False
1529627875716666639,62.691776275634766,82.2140884399414,281.718505859375,45.1021842956543,192.72637939453125,43.229393005371094,68.60296630859375,120.57438659667969,308.9951171875,120.38441467285156,188.94305419921875,121.01183319091797,9860.203572136477,1020.8992493303787,9912.91328325111,4825.852331987745,2488.3138965433272,5429.60005689942,5219.867664654178,-345.17741599408595,5231.268095310602,False,False
1529627875724999972,62.731842041015625,82.25253295898438,281.8529357910156,45.224037170410156,192.86563110351562,43.20345687866211,68.60120391845703,120.5655746459961,308.9903259277344,120.38232421875,188.93643188476562,121.00260162353516,9864.836359011515,1014.1005467549195,9916.823902288685,4844.854557222332,2483.2282495432655,5444.174705129118,5215.442833343851,-358.22357526898776,5227.730681448331,False,False
1529627875733333305,62.77308654785156,82.35118103027344,281.83624267578125,45.230411529541016,192.90771484375,43.212646484375,68.59829711914062,120.5641098022461,308.9880676269531,120.38302612304688,188.93167114257812,121.00257110595703,9877.327017504804,1007.6934272036989,9928.596832078532,4844.939837513754,2484.8134320397126,5444.973812716897,5216.256184327711,-362.5645629378606,5228.84132890217,False,False
1529627875741666638,62.74748229980469,82.40621185302734,281.79071044921875,45.171775817871094,192.83309936523438,43.367584228515625,68.59841918945312,120.57157135009766,308.9909973144531,120.37789916992188,188.93792724609375,121.00599670410156,9884.08541143623,1012.8673653094925,9935.846452128551,4836.352270610824,2485.5780587037025,5437.683474730001,5235.615513733045,-356.48524433728915,5247.737754220609,False,False
1529627875749999971,62.73110580444336,82.4002456665039,281.829345703125,45.280548095703125,192.76519775390625,43.45760726928711,68.60224914550781,120.57781982421875,308.99310302734375,120.37612915039062,188.947021484375,121.00687408447266,9883.524185653789,1016.332197592083,9935.641975447068,4849.514291380808,2488.435266256642,5450.697105568834,5246.99703518651,-350.1770721436807,5258.66921084709,False,False
1529627875758333304,62.7649040222168,82.5804443359375,281.9455871582031,45.49677276611328,192.77752685546875,43.478946685791016,68.61019134521484,120.58096313476562,308.9996643066406,120.38214111328125,188.95484924316406,121.01188659667969,9905.855037134414,1014.1111989505886,9957.629514124244,4877.692772595712,2491.110270240988,5476.99891932914,5249.763432881831,-350.77597524378325,5261.469365684025,False,False
1529627875766666637,62.74669647216797,82.74665832519531,281.9868469238281,45.547935485839844,192.85409545898438,43.49933624267578,68.6196517944336,120.57979583740234,309.0104064941406,120.38343048095703,188.96243286132812,121.01622009277344,9925.205132965943,1020.9354941742558,9977.57516707934,4884.55787055399,2491.337003246041,5483.216725110717,5251.987047159871,-357.276769133652,5264.125248633209,False,False
1529627875774999970,62.69742965698242,82.6991195678711,281.8880615234375,45.430030822753906,192.87387084960938,43.442623138427734,68.62425231933594,120.57512664794922,309.01422119140625,120.38198852539062,188.9650115966797,121.01301574707031,9918.155255036938,1029.6345768085027,9971.456815569953,4867.397957657615,2493.578292954081,5468.957449212903,5244.893456846244,-358.3757240245358,5257.1228379445965,False,False
1529627875783333303,62.668212890625,82.62312316894531,281.787353515625,45.306640625,192.8055877685547,43.382904052734375,68.6256103515625,120.5728759765625,309.01397705078125,120.38705444335938,188.96371459960938,121.00993347167969,9908.30565715231,1033.9567170081639,9962.10758264549,4850.014067648423,2495.418230415173,5454.333011567592,5237.9648952797215,-351.7503535380165,5249.762333229651,False,False
1529627875791666636,62.662994384765625,82.76273345947266,281.7845153808594,45.30888366699219,192.7626495361328,43.416297912597656,68.62809753417969,120.5744400024414,309.018798828125,120.39085388183594,188.96739196777344,121.01478576660156,9925.037321965472,1037.0520774739525,9979.070239947236,4850.073572615651,2496.268965375282,5454.775193101959,5242.491677570772,-347.77007458642845,5254.013990671956,False,False
1529627875799999969,62.67127227783203,82.98133087158203,281.7838134765625,45.315528869628906,192.764892578125,43.484188079833984,68.62983703613281,120.57601165771484,309.0252380371094,120.38594055175781,188.97476196289062,121.01822662353516,9951.500173762874,1038.6691258275691,10005.557918544568,4850.27574281317,2497.1377259665296,5455.35256457061,5250.869816647345,-347.85392914842066,5262.379327585775,False,False
1529627875808333302,62.658477783203125,83.07138061523438,281.6610107421875,45.20478439331055,192.7567138671875,43.433170318603516,68.62956237792969,120.57837677001953,309.0267333984375,120.38026428222656,188.97906494140625,121.01515197753906,9962.267311281352,1041.9935687757766,10016.612230629427,4832.779043913093,2501.4077976101676,5441.763892087794,5244.651555134457,-346.29446149017497,5256.071706972142,False,False
1529627875816666636,62.63714599609375,82.98006439208984,281.6270446777344,45.101966857910156,192.7567901611328,43.33028030395508,68.63262176513672,120.57994079589844,309.02728271484375,120.38198852539062,188.9806671142578,121.0115966796875,9951.001363731273,1045.097956664524,10005.731251638033,4820.351697051167,2498.6584008167774,5429.464456761489,5232.082838953371,-345.32462681430843,5243.46640416002,False,False
1529627875824999969,62.587554931640625,82.71905517578125,281.636962890625,45.10877227783203,192.72930908203125,43.317848205566406,68.63591766357422,120.57456970214844,309.0277404785156,120.38504028320312,188.97727966308594,121.00695037841797,9918.293348353267,1050.9197957133185,9973.814483988099,4821.613830996758,2498.302683127028,5430.4213677926455,5230.525550021894,-343.0128186515371,5241.760708310816,False,False
1529627875833333302,62.59390640258789,82.54724884033203,281.6427001953125,45.22394561767578,192.7022705078125,43.339351654052734,68.63308715820312,120.56840515136719,309.02398681640625,120.3862533569336,188.96865844726562,121.00479888916016,9897.355086439402,1047.0973372975664,9952.590142311878,4834.38809333223,2503.9059027485473,5444.341374929703,5233.139036873832,-341.4948510864133,5244.269530885241,False,False
1529627875841666635,62.62324142456055,82.60100555419922,281.590087890625,45.30675506591797,192.73233032226562,43.35013198852539,68.63050079345703,120.56884765625,309.02301025390625,120.38512420654297,188.96640014648438,121.0103988647461,9904.419043571648,1042.2651576513756,9959.108054917308,4840.93227043921,2512.8310045501266,5454.2593360059545,5234.489472603957,-344.54821109091444,5245.816762770846,False,False
