,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-],PV-Generation [-]
1549094386066666664,95.98481750488281,1.6660916805267334,355.34222412109375,2.062471628189087,217.54490661621094,2.4330642223358154,159.25491333007812,122.04641723632812,39.35173034667969,122.2896499633789,279.2658996582031,122.41189575195312,91.45955895807916,181.6108925971209,203.34052039554075,181.40204545618326,175.23609304416075,252.21893347064358,141.10444487483525,262.28957448005673,297.83600394237874,False,False,False
1549094386074999997,95.44969177246094,1.6556214094161987,355.2580261230469,2.0612106323242188,217.66934204101562,2.4306817054748535,159.30322265625,122.05140686035156,39.39816665649414,122.2917251586914,279.31329345703125,122.41291046142578,89.04605994881484,181.3931002698084,202.07092224736516,180.894441153428,175.5448205134889,252.06900414236586,141.3196528753246,261.845120208767,297.54682197251896,False,False,False
1549094386083333330,95.12367248535156,1.6519546508789062,355.0980529785156,2.0630788803100586,217.8824920654297,2.4306857585906982,159.34844970703125,122.05020141601562,39.4422721862793,122.28765869140625,279.3587341308594,122.41246795654297,87.67339567037322,181.56146003663991,201.62139786989428,180.4254238797773,176.34185355943657,252.289085968805,142.085211394887,261.42983599831973,297.5462425359092,False,False,False
1549094386091666663,95.24809265136719,1.6519224643707275,355.2733154296875,2.0593864917755127,218.01393127441406,2.4345293045043945,159.3890380859375,122.05123901367188,39.4822883605957,122.28617095947266,279.400634765625,122.406982421875,87.93798588964309,181.4309946105298,201.61918353096553,180.51531848122505,175.59848930018688,251.83448860488897,142.7125092457275,261.6087873950893,298.003385782009,False,False,False
1549094386099999996,95.43021392822266,1.653652310371399,355.32489013671875,2.0514841079711914,218.0891876220703,2.4336230754852295,159.4285888671875,122.05329132080078,39.52253723144531,122.28842163085938,279.44140625,122.40424346923828,88.48321882628896,181.4044248098575,201.83370718107562,179.86052047176352,174.89234304767342,250.8727535645885,142.8135614872352,261.41964616221946,297.8857914440505,False,False,False
1549094386108333329,95.16545104980469,1.6676565408706665,354.96319580078125,2.0371711254119873,218.0753631591797,2.431455373764038,159.46963500976562,122.05277252197266,39.56480026245117,122.28971099853516,279.4828796386719,122.40739440917969,88.25448934730314,183.4135583453147,203.54210442766725,177.37863876571885,174.9288944282918,249.12506818119252,142.4378741653541,261.3311079595582,297.62811692465397,False,False,False
1549094386116666662,94.22197723388672,1.676090955734253,354.8683776855469,2.0101373195648193,217.9999237060547,2.4349098205566406,159.51393127441406,122.05709075927734,39.60826873779297,122.29552459716797,279.52655029296875,122.411865234375,85.51283803357182,185.84949333735216,204.57878590485961,174.61597014702363,173.03769594837362,245.83079800852465,142.10107877358536,262.0079226149616,298.0618528118357,False,False,False
1549094386124999995,93.53961181640625,1.6689497232437134,354.9953308105469,1.9873286485671997,218.02310180664062,2.434217929840088,159.55911254882812,122.06169891357422,39.652774810791016,122.30083465576172,279.57275390625,122.41438293457031,82.79494436123568,186.13095568008796,203.71483862046716,172.88813257097485,170.83309166653072,243.05195245507542,141.95834482912278,261.99592927235796,297.98328580964153,False,False,False
1549094386133333328,92.97184753417969,1.6683597564697266,354.9086608886719,1.9750404357910156,218.09890747070312,2.4288828372955322,159.60073852539062,122.06017303466797,39.69702911376953,122.30023193359375,279.615478515625,122.41326904296875,80.78105872259542,186.93256649848814,203.64028055877134,171.4298735402206,170.1681171167738,241.54790337546729,141.79683776011203,261.33750603728333,297.3274882357072,False,False,False
1549094386141666661,92.88699340820312,1.6659189462661743,355.130615234375,1.985411286354065,218.065673828125,2.4295554161071777,159.64175415039062,122.057373046875,39.74128723144531,122.30082702636719,279.6550598144531,122.41321563720703,80.25078033994261,186.8315512631926,203.33769029026737,172.8605836919699,170.5272086646433,242.8174423085857,141.50371088144075,261.58980129182834,297.4096910544722,False,False,False
1549094386149999994,94.18640899658203,1.6614614725112915,355.5191955566406,2.0223329067230225,218.02102661132812,2.435309410095215,159.68382263183594,122.05831909179688,39.78376007080078,122.30259704589844,279.69696044921875,122.41732788085938,84.10612679777398,184.53197656766088,202.79519457050995,177.1237856718021,172.6341267497717,247.3365665836063,141.4473494987668,262.43210314149326,298.12407054696814,False,False,False
1549094386158333327,95.20147705078125,1.6647237539291382,355.3612976074219,2.0439248085021973,218.1702423095703,2.4378254413604736,159.72801208496094,122.06352996826172,39.82635498046875,122.30347442626953,279.7420654296875,122.42030334472656,87.39579119247601,183.44768187908144,203.20205782660653,178.40453202666288,175.10390104694642,249.97910554586636,142.07405589269703,262.4518934064867,298.43933003284116,False,False,False
1549094386166666660,95.09527587890625,1.663993239402771,355.0452880859375,2.039686679840088,218.31163024902344,2.434945583343506,159.7734375,122.06317901611328,39.86961364746094,122.30345153808594,279.78515625,122.41683197021484,86.87162522327336,183.5971923437568,203.11230466282265,176.93538284125202,175.85369379404423,249.46072100070162,142.35170764825872,261.8905854868821,298.0783243327787,False,False,False
1549094386174999993,94.9892349243164,1.6631512641906738,355.10467529296875,2.0343947410583496,218.29183959960938,2.431788206100464,159.81399536132812,122.05706787109375,39.9084358215332,122.30168914794922,279.8233642578125,122.4128189086914,86.35354125862065,183.71665358965856,202.99936673321645,176.5367261223882,175.33156375590522,248.80991322514092,141.89763696073481,261.68619202972576,297.6820492976676,False,False,False
1549094386183333326,94.93547821044922,1.6663267612457275,355.3523254394531,2.0347959995269775,218.2776641845703,2.4307007789611816,159.85067749023438,122.05658721923828,39.94639205932617,122.30166625976562,279.86090087890625,122.4154281616211,86.22742879513662,184.20303921227787,203.38615766974,177.21214224067472,174.71871473311037,248.85894124085462,141.60106676460336,261.702656687456,297.55527658931896,False,False,False
1549094386191666659,94.67843627929688,1.6693167686462402,355.40826416015625,2.0383408069610596,218.2690887451172,2.4298572540283203,159.88894653320312,122.06259155273438,39.98830032348633,122.30621337890625,279.9014892578125,122.4226303100586,85.43409865823047,184.98544065273566,203.7611309033964,177.57031824280645,174.98612080906966,249.30174567511128,141.33570833725489,261.7486020710611,297.46951631612313,False,False,False
1549094386199999992,94.64945220947266,1.672141671180725,355.3880615234375,2.039018154144287,218.27639770507812,2.42956805229187,159.93124389648438,122.0696029663086,40.03213882446289,122.31442260742188,279.9454345703125,122.42884826660156,85.35298185064323,185.41545689727738,204.11766990445085,177.44547189872273,175.2544636112196,249.4013282102096,141.1586782146611,261.82105550886314,297.44921842742406,False,False,False
1549094386208333325,94.76377868652344,1.6746220588684082,355.60198974609375,2.0371453762054443,218.302734375,2.4248132705688477,159.97459411621094,122.0718002319336,40.076637268066406,122.31832122802734,279.98895263671875,122.43248748779297,85.71109586530335,185.58780331823684,204.4241294341736,177.80515503105215,174.57405354102363,249.18020251488815,140.80824384159308,261.3586627319425,296.8759204091548,False,False,False
1549094386216666658,94.78544616699219,1.6770086288452148,355.72418212890625,2.0372164249420166,218.3545379638672,2.4210708141326904,160.01437377929688,122.07062530517578,40.120086669921875,122.31294250488281,280.0303649902344,122.43480682373047,85.77366516301231,185.87762683317976,204.71349196531082,178.0432885333223,174.327940747678,249.1779354539358,140.64090951033285,260.93472277210554,296.4233374349078,False,False,False
1549094386224999991,95.03912353515625,1.6791354417800903,355.5757141113281,2.0405359268188477,218.49441528320312,2.4242026805877686,160.05593872070312,122.07147979736328,40.1600227355957,122.31007385253906,280.07208251953125,122.43325805664062,86.57146366038073,185.79544416480334,204.974548158295,177.75409384088292,175.1933505487023,249.5780999079725,141.26846154725118,261.02732002316503,296.8030323740022,False,False,False
1549094386233333324,95.37696838378906,1.678017497062683,355.48724365234375,2.0395491123199463,218.54782104492188,2.4259307384490967,160.10081481933594,122.071533203125,40.19851303100586,122.3121337890625,280.113037109375,122.42912292480469,87.46211838288146,185.22703141470512,204.83816860811206,177.28266057486587,175.50484345904178,249.4616038954409,141.4211481017724,261.1738405847056,297.00457258464667,False,False,False
