,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-],PV-Generation [-]
1511111875499999981,205.3114013671875,7.516059875488281,79.19099426269531,5.568646430969238,338.4515380859375,6.183805465698242,16.954092025756836,123.09733581542969,256.9728698730469,123.03460693359375,137.06729125976562,123.00350189208984,-915.3820848634085,134.475025809296,-925.2069465018576,-684.6228681009221,26.51744685881152,-685.1362247864599,-708.2650116541678,277.34140570692813,-760.6297273003295,False,False,True
1511111875508333314,205.28546142578125,7.537054061889648,79.19303894042969,5.575963497161865,338.52691650390625,6.199927806854248,16.98248291015625,123.09376525878906,257.0010070800781,123.03091430664062,137.09481811523438,123.00140380859375,-918.0398002973353,133.9762633221932,-927.764363437047,-685.5138918812029,26.239312559256128,-686.0158871962776,-709.8670049565281,278.65269865052124,-762.5998237550083,False,False,True
1511111875516666647,205.21603393554688,7.56863260269165,79.00839233398438,5.593942165374756,338.5791015625,6.215465545654297,17.008668899536133,123.0851821899414,257.0269775390625,123.02665710449219,137.11904907226562,122.99529266357422,-922.045109902796,132.98971698877386,-931.5865228310322,-687.7925239557683,23.794873307724284,-688.2040046419206,-711.4742861781817,279.68431076702115,-764.4730038281123,False,False,True
1511111875524999980,205.21200561523438,7.607049465179443,78.73046875,5.558467388153076,339.17852783203125,6.21980094909668,17.028886795043945,123.07899475097656,257.0478515625,123.0202865600586,137.13922119140625,122.98809814453125,-926.7351179774251,133.26586648312298,-936.2680011952398,-683.5094044335475,20.078536661106156,-683.8042509253319,-709.063187025493,287.0461240388717,-764.9614895669511,False,False,True
1511111875533333313,205.58912658691406,7.651790618896484,78.78755187988281,5.4858856201171875,340.39068603515625,6.207921981811523,17.048370361328125,123.0776596069336,257.06634521484375,123.01361846923828,137.1597900390625,122.9809799194336,-931.3207574396598,139.8641654136222,-941.7644811760691,-674.5341611381849,20.26959193142711,-674.8386406389762,-701.5574100691158,301.1357933491208,-763.4563285865732,False,False,True
1511111875541666646,206.05470275878906,7.665127277374268,79.07819366455078,5.429262638092041,341.3984069824219,6.184428691864014,17.070964813232422,123.07708740234375,257.0851135253906,123.01073455810547,137.18206787109375,122.97340393066406,-931.8285511402161,147.3160436078228,-943.401539867482,-667.4535545525227,23.22728248990967,-667.8575852205794,-693.5968848828603,311.9525737959776,-760.5202476049816,False,False,True
1511111875549999979,206.2209930419922,7.640986919403076,79.27882385253906,5.381801128387451,341.9774475097656,6.1618852615356445,17.09454917907715,123.07400512695312,257.1047058105469,123.00922393798828,137.20254516601562,122.96607971191406,-928.501976805234,149.16148161798594,-940.4068632935958,-661.5346348893232,25.114329384481618,-662.01118019153,-687.9647555234379,317.51872511351434,-757.7028742456605,False,False,True
1511111875558333312,206.2026824951172,7.621091365814209,79.30233001708984,5.362189769744873,342.0417175292969,6.147915840148926,17.11998748779297,123.07363891601562,257.12908935546875,123.01114654541016,137.22625732421875,122.9656982421875,-926.1949207186847,148.0654895928889,-937.9554469021823,-659.1346784922177,25.013110075205468,-659.6091115703857,-686.1785391824978,317.28370878103067,-755.9827640181175,False,False,True
1511111875566666645,206.11903381347656,7.628236293792725,79.39326477050781,5.385268688201904,341.81231689453125,6.170997619628906,17.1481876373291,123.07366180419922,257.1593017578125,123.01066589355469,137.2567596435547,122.96961212158203,-927.3509672404193,146.39430166402326,-938.8349737847639,-661.9420194089146,25.822212397786938,-662.445487351426,-690.2142637927268,315.3573891080003,-758.8451836889726,False,False,True
1511111875574999978,206.08450317382812,7.648324012756348,79.93403625488281,5.4287495613098145,341.540283203125,6.240777969360352,17.177898406982422,123.0705337524414,257.19134521484375,123.00631713867188,137.28793334960938,122.96984100341797,-929.9333478164389,145.733504799453,-941.2833185615381,-667.0055582454584,31.95329182037403,-667.7704902049007,-699.6983149061217,315.2256286127808,-767.427474629876,False,False,True
1511111875583333311,206.02264404296875,7.657952785491943,80.43824005126953,5.466229438781738,341.0788879394531,6.30359411239624,17.20561408996582,123.06706237792969,257.21905517578125,123.00581359863281,137.31434631347656,122.96574401855469,-931.3047926606538,144.45705669062994,-942.4417531393773,-671.3169983683916,37.75793724128669,-672.3779994341457,-709.4025999577507,312.3595430241481,-775.1261400217845,False,False,True
1511111875591666644,206.04156494140625,7.646655082702637,80.6123275756836,5.4933762550354,340.8056640625,6.323591709136963,17.233623504638672,123.06173706054688,257.2467041015625,123.0072021484375,137.34133911132812,122.96115112304688,-929.9134760928522,144.0901936555963,-941.0106571802462,-674.5593742839371,39.67007263036774,-675.724843480566,-713.2585827294789,309.60572888997274,-777.5561157876364,False,False,True
1511111875599999977,206.58221435546875,7.622134685516357,80.8373794555664,5.535174369812012,340.9058837890625,6.300086498260498,17.263734817504883,123.05817413330078,257.2768249511719,123.00524139404297,137.37049865722656,122.95944213867188,-925.5881498928567,151.87742272511528,-937.9659773977437,-679.5412180299354,42.28344536916979,-680.8554595168462,-710.2143793267783,309.3316865092213,-774.6551212514896,False,False,True
1511111875608333310,207.30706787109375,7.609202861785889,81.03666687011719,5.567243576049805,341.150634765625,6.256464004516602,17.291606903076172,123.05513763427734,257.3058776855469,123.00032806396484,137.397705078125,122.95972442626953,-922.0823129212391,162.84455761687917,-936.3515054441997,-683.321613238996,44.55717328478825,-684.7727862661268,-704.1269525975135,309.8662497919751,-769.2930898782362,False,False,True
1511111875616666643,207.64373779296875,7.604003429412842,81.07777404785156,5.5749406814575195,341.3082580566406,6.226823329925537,17.319072723388672,123.05584716796875,257.3359680175781,122.99805450439453,137.42779541015625,122.96382904052734,-920.5659292712215,167.70459421160623,-935.7170838745369,-684.2451134826457,44.7495196009459,-685.7068577966784,-700.1262558823528,309.9676764523556,-765.6740394065308,False,False,True
1511111875624999976,207.54678344726562,7.592400550842285,81.26341247558594,5.573231220245361,341.2349853515625,6.250363349914551,17.346500396728516,123.05792999267578,257.364990234375,122.99529266357422,137.4588165283203,122.96605682373047,-919.5381540897573,165.45571788027524,-934.3050954619029,-683.8951052894481,46.60437094428503,-685.4812050158472,-703.3509647099688,309.8653470864554,-768.582534854555,False,False,True
1511111875633333309,207.0526580810547,7.584629535675049,81.61476135253906,5.563409328460693,340.94482421875,6.327591419219971,17.37271499633789,123.05681610107422,257.39227294921875,122.9913101196289,137.48655700683594,122.96513366699219,-920.0518258505116,156.93587551799348,-933.3403619663404,-682.3937085175672,50.38115091198517,-684.2510020391455,-713.7655908046353,309.73612752296356,-778.0731246544966,False,False,True
1511111875641666642,206.5916748046875,7.60957145690918,81.76155090332031,5.553183078765869,340.7896728515625,6.388224124908447,17.3988094329834,123.06067657470703,257.4176025390625,122.99148559570312,137.5135955810547,122.96502685546875,-924.4115449591975,149.60387231661196,-936.4390119308227,-681.032218375576,51.73243490390996,-682.9942366423347,-721.5951566673888,310.41086645022136,-785.5281510781205,False,False,True
1511111875649999975,206.72454833984375,7.666670799255371,81.79652404785156,5.55159330368042,341.15447998046875,6.407979488372803,17.42797088623047,123.06427001953125,257.444091796875,122.9957504272461,137.54127502441406,122.96349334716797,-931.100808820025,152.41649488175364,-943.4932453904185,-680.853194212126,51.820233898453765,-682.8223844530476,-721.9730395719645,315.6204380995452,-787.9475431873178,False,False,True
1511111875658333308,207.257080078125,7.688969135284424,82.00576782226562,5.56456184387207,341.6565856933594,6.3966064453125,17.45917320251465,123.06270599365234,257.4742431640625,123.00065612792969,137.56996154785156,122.96398162841797,-932.4238148342406,161.02247947903533,-946.2253480897743,-682.3051930819006,54.076335457129325,-684.4447578607068,-718.0666871778046,321.00559503001523,-786.5521974256261,False,False,True
1511111875666666641,207.75021362304688,7.675005912780762,82.2956771850586,5.57078742980957,342.0841369628906,6.364004611968994,17.487499237060547,123.05997467041016,257.5029296875,122.9997329711914,137.59750366210938,122.9617691040039,-929.3753771719543,168.27143327971214,-944.4860332220487,-682.8095068308611,57.250077691876974,-685.2053663058468,-712.1470115015135,324.3434686337273,-782.5292656737475,False,False,True
1511111875674999974,208.05943298339844,7.661145210266113,82.60823822021484,5.549523830413818,342.57623291015625,6.349305629730225,17.513803482055664,123.0592269897461,257.5296325683594,122.99627685546875,137.6244354248047,122.95889282226562,-926.8506409925791,172.54521062419184,-942.7746074315438,-679.8911258063965,60.4227802497582,-682.5707694615994,-707.8350686741206,329.3442145424793,-780.7035904218064,False,False,True
1511111875683333307,208.27899169921875,7.636514663696289,82.83956909179688,5.520253658294678,342.9132995605469,6.344152927398682,17.540882110595703,123.0577392578125,257.55633544921875,122.99251556396484,137.65318298339844,122.96240234375,-923.2766594078768,175.09104746273732,-939.7322303235997,-676.0654915413555,62.517166522290324,-678.949883984842,-705.4997147540548,332.887556495265,-780.0922847890762,False,False,True
1511111875691666640,208.51300048828125,7.611252784729004,82.86190795898438,5.506333351135254,343.01922607421875,6.3159098625183105,17.569774627685547,123.05370330810547,257.5855712890625,122.98936462402344,137.6827392578125,122.96439361572266,-919.561625416072,177.7992370653575,-936.5928419750344,-674.3508964826796,62.27674625922502,-677.2204402641945,-701.9279613982908,332.34686909963165,-776.6320263761263,False,False,True
1511111875699999973,208.7399444580078,7.611454963684082,82.80320739746094,5.531128406524658,342.9773864746094,6.297977924346924,17.597721099853516,123.05252838134766,257.6163330078125,122.99149322509766,137.71177673339844,122.96104431152344,-918.9541905068419,180.99502387657174,-936.6087779420849,-677.4960800831728,61.50048687968009,-680.2817419382227,-700.3254159200795,330.5281770059653,-774.4059426286184,False,False,True
1511111875708333306,208.87759399414062,7.633644104003906,82.83917236328125,5.585932731628418,342.71966552734375,6.30789041519165,17.625595092773438,123.0535888671875,257.6451110839844,122.9933090209961,137.73919677734375,122.95775604248047,-921.2916141562278,183.28970944317408,-939.3473031325266,-684.211249705382,62.196596298177425,-687.0323506316707,-703.0476867388574,327.54479664615735,-775.6040508138358,False,False,True
1511111875716666639,208.8106231689453,7.651912689208984,83.00657653808594,5.614675998687744,342.4537048339844,6.323830604553223,17.655136108398438,123.05322265625,257.6727294921875,122.99230194091797,137.76571655273438,122.95804595947266,-923.8018403961653,182.17196728198306,-941.5925158914179,-687.5717630528544,64.1937997141113,-690.561925731028,-706.4930388716461,324.77106322890756,-777.5658541145748,False,False,True
1511111875724999972,208.68634033203125,7.653809547424316,83.14459228515625,5.624839782714844,342.3544616699219,6.347664833068848,17.682533264160156,123.04988861083984,257.7001037597656,122.99082946777344,137.79356384277344,122.95893859863281,-924.4849434271025,179.76541911080082,-941.8004122591447,-688.6827017712194,65.63924239257892,-691.8037104994293,-709.8822922003169,324.42365336651613,-780.5021304540132,False,False,True
1511111875733333305,208.70855712890625,7.6462883949279785,83.18955993652344,5.650095462799072,342.2221984863281,6.3720526695251465,17.70940399169922,123.04935455322266,257.7273864746094,122.99134826660156,137.822265625,122.95941925048828,-923.5870575657844,179.51297089689098,-940.8708517236846,-691.7574391995828,66.14776371208028,-694.912858804666,-713.5245752440583,323.6680939881385,-783.5038956783355,False,False,True
1511111875741666638,208.8323974609375,7.676301002502441,83.2705078125,5.666861057281494,342.3942565917969,6.404512882232666,17.73969268798828,123.05266571044922,257.7564392089844,122.99415588378906,137.85150146484375,122.95729064941406,-926.9416989118995,181.73616776083168,-944.5893011537192,-693.765560800885,66.97395859126894,-696.9907922510538,-716.3338269868464,327.0979103300001,-787.4815519285985,False,False,True
1511111875749999971,209.08245849609375,7.726090431213379,83.60267639160156,5.664804458618164,343.0092468261719,6.442978382110596,17.769132614135742,123.05211639404297,257.7851257324219,122.99604797363281,137.8794403076172,122.95272064208984,-932.2385543071209,186.505132949781,-950.7117790125703,-693.1601016573161,70.62315952377817,-696.7485609534489,-717.2001357893283,336.41617752168844,-792.1817211186681,False,False,True
1511111875758333304,209.50775146484375,7.740747451782227,84.10549926757812,5.662869453430176,343.5562744140625,6.454866886138916,17.79620361328125,123.04891204833984,257.81396484375,122.99726867675781,137.906005859375,122.9554443359375,-932.6615272478363,193.34096299065192,-952.490552382762,-692.3224610009477,76.32957403531854,-696.517475644956,-715.4481829414173,343.55745065273794,-793.6610261145397,False,False,True
1511111875766666637,210.0196533203125,7.746212959289551,84.34623718261719,5.6547698974609375,344.0391845703125,6.42643404006958,17.826068878173828,123.0481948852539,257.846923828125,122.99540710449219,137.937255859375,122.9615478515625,-931.6538599360929,201.32150084200697,-953.1575218373399,-691.0408258145969,78.72576776726042,-695.5107256204356,-709.6135281455355,347.6657009827856,-790.2042767329259,False,False,True
1511111875774999970,210.25180053710938,7.731694221496582,84.40032958984375,5.63006591796875,344.29534912109375,6.390496253967285,17.857791900634766,123.05045318603516,257.87774658203125,122.98892974853516,137.97023010253906,122.95938110351562,-929.2161102707815,204.19954995270786,-951.3884778510035,-687.9537554308927,78.6571174027435,-692.4357816646808,-704.280753986275,348.4614953236856,-785.7714643321524,False,False,True
1511111875783333303,209.86080932617188,7.686161994934082,84.59016418457031,5.605685234069824,343.9430236816406,6.407285690307617,17.888275146484375,123.05561065673828,257.90338134765625,122.98870849609375,137.99917602539062,122.9574203491211,-925.2509652607847,196.20463531180278,-945.8253578932272,-684.7461244284211,80.279047644244,-689.4359871738707,-708.4290361498626,344.66488673731385,-787.8233199200621,False,False,True
1511111875791666636,209.44149780273438,7.6721954345703125,84.77680206298828,5.580667972564697,343.77490234375,6.458086967468262,17.91870880126953,123.06378173828125,257.93218994140625,122.99882507324219,138.02944946289062,122.96356201171875,-925.13996194169,188.60508286391692,-944.1693844133988,-681.523529642137,81.80500971628145,-686.4156037493303,-715.2802954376729,344.94028769707853,-794.1093773013563,False,False,True
1511111875799999969,209.5743408203125,7.704458236694336,84.85893249511719,5.550664901733398,344.31964111328125,6.4806718826293945,17.95209503173828,123.06873321533203,257.9674072265625,123.00565338134766,138.06297302246094,122.96834564208984,-928.7375228719001,191.01825219906203,-948.1779153004027,-677.8302678718977,81.92474975655622,-682.7631629386306,-714.6925579823345,352.55077571947345,-796.9175000561445,False,False,True
1511111875808333302,209.9398956298828,7.712543487548828,84.9947509765625,5.537695407867432,344.6966552734375,6.460795879364014,17.986804962158203,123.06778717041016,258.0027160644531,123.00465393066406,138.09628295898438,122.96949768066406,-928.5853711211817,196.58244975520185,-949.1656604681918,-676.0965603311466,82.91881501300239,-681.162307218161,-710.3860831524241,355.740625192661,-794.480823902697,False,False,True
1511111875816666636,210.27635192871094,7.686286926269531,85.23542785644531,5.5637593269348145,344.6018371582031,6.429129123687744,18.017309188842773,123.06614685058594,258.0350341796875,123.00254821777344,138.12924194335938,122.97264862060547,-924.3524371122112,200.8493566232603,-945.921715604025,-678.9596295271214,85.77728754462849,-684.3565748833862,-707.7100525297174,352.42867075569694,-790.607036663754,False,False,True
1511111875824999969,210.48580932617188,7.662343978881836,85.50391387939453,5.61286735534668,344.3423156738281,6.4145073890686035,18.047557830810547,123.0684814453125,258.06854248046875,123.00489807128906,138.16354370117188,122.97673797607422,-920.8597655524218,203.10874307152474,-942.9930377926212,-684.6048365810439,89.3444466166416,-690.4101769320841,-707.9179675757829,348.0130962427926,-788.8351944310815,False,False,True
1511111875833333302,210.55154418945312,7.6576666831970215,85.59437561035156,5.651458740234375,344.0906066894531,6.415141582489014,18.083791732788086,123.07476043701172,258.1033935546875,123.01471710205078,138.19842529296875,122.9790267944336,-920.2399605478396,203.46896481130517,-942.4654925409595,-689.2792318226201,90.6349667398442,-695.212598143844,-709.7332195339909,344.50825662859864,-788.9278685630014,False,False,True
1511111875841666635,210.56570434570312,7.688554286956787,85.56787109375,5.673994541168213,344.1527099609375,6.446697235107422,18.123126983642578,123.07813262939453,258.1387939453125,123.0231704711914,138.23382568359375,122.97913360595703,-924.0667887320611,203.88926065919188,-946.2929042583672,-692.1732813989503,90.25483460391628,-698.0327976907465,-713.0635427134624,346.5355335651113,-792.8092405934294,False,False,True
1511111875849999968,210.45396423339844,7.729220867156982,85.63538360595703,5.671504974365234,344.34002685546875,6.504123210906982,18.159759521484375,123.0759048461914,258.1750793457031,123.02237701416016,138.2695770263672,122.9795150756836,-929.4652393045103,202.55771590113824,-951.2808519814098,-691.8158444699429,90.59171590344567,-697.7220231940446,-718.4902298874023,351.5253547109258,-799.8739184698388,False,False,True
1511111875858333301,210.3112335205078,7.770196914672852,85.5,5.642724990844727,344.6113586425781,6.524805545806885,18.19131851196289,123.0712890625,258.21026611328125,123.01726531982422,138.30271911621094,122.98052215576172,-934.9727917413397,200.78074011597843,-956.288150558248,-688.5418963969402,88.07885830271812,-694.1525973255484,-719.308603084239,355.63942139761724,-802.4239929881404,False,False,True
1511111875866666634,210.40872192382812,7.7972636222839355,85.43933868408203,5.615476608276367,345.21136474609375,6.512535572052002,18.219497680664062,123.0712661743164,258.24310302734375,123.01099395751953,138.3352813720703,122.98233032226562,-937.9850902066244,202.61490683923685,-959.6191066894207,-685.3241545215159,86.53083035755324,-690.7653591292765,-714.4157409269708,362.0689017410215,-800.9268009576045,False,False,True
1511111875874999967,210.70736694335938,7.77580451965332,85.819580078125,5.610446453094482,345.5465393066406,6.498025417327881,18.249101638793945,123.07633209228516,258.271484375,123.00900268554688,138.36685180664062,122.98295593261719,-934.4829953242756,206.45586817372853,-957.0174993455439,-684.1553612066506,90.65508015198502,-690.1354228158161,-710.9033265776534,365.0361442599395,-799.1463735482612,False,False,True
1511111875883333300,210.86231994628906,7.729963779449463,86.08740997314453,5.604269504547119,345.37652587890625,6.476314544677734,18.281240463256836,123.07669830322266,258.2984619140625,123.01541137695312,138.39527893066406,122.98017883300781,-928.5346302746691,207.23015799054545,-951.3784199781404,-683.0510083060491,93.43212503175016,-689.4115185691771,-709.7678696514294,361.35222168222685,-796.4583208832773,False,False,True
1511111875891666633,210.76956176757812,7.699450492858887,86.14913177490234,5.577578544616699,345.28485107421875,6.469258785247803,18.31093406677246,123.07508087158203,258.32818603515625,123.01953887939453,138.42308044433594,122.97948455810547,-925.2961980321705,204.43236191585825,-947.6104920753496,-679.7686727979503,93.36990553634581,-686.1511406223508,-709.7417396923169,359.47729103254255,-795.5861108827704,False,False,True
1511111875899999966,210.58905029296875,7.690721035003662,86.19931030273438,5.551177501678467,345.3454284667969,6.477133750915527,18.33974838256836,123.07633972167969,258.35906982421875,123.01737976074219,138.45230102539062,122.97917175292969,-924.9964412866896,200.82461322542756,-946.5457948087787,-676.5078335104656,93.15413906109085,-682.891310843268,-710.4068139494563,360.30280887022553,-796.5525440205383,False,False,True
1511111875908333299,210.48789978027344,7.715192794799805,86.14865112304688,5.542107105255127,345.4498291015625,6.496737480163574,18.369028091430664,123.07585906982422,258.38861083984375,123.01366424560547,138.4825439453125,122.9771728515625,-928.392354977748,199.34993920089286,-949.5539811093041,-675.5115626781026,92.05365819902609,-681.7549026590386,-712.0770141915092,362.30937113771546,-798.9504080693004,False,False,True
