,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1547052268391666652,310.8920593261719,219.3249969482422,193.33401489257812,213.6860809326172,71.98919677734375,226.88133239746094,330.5099182128906,283.2969665527344,210.62838745117188,283.1694641113281,90.59070587158203,283.8832092285156,58527.39840969624,20861.227292574567,62134.106324624736,57773.744409142346,17988.292884960934,60509.3730257391,61043.137805163125,20545.07544400526,64407.8007550328,False,False
1547052268399999985,311.0501708984375,219.41806030273438,193.33702087402344,213.78616333007812,72.04786682128906,226.47357177734375,330.56158447265625,283.3008728027344,210.68017578125,283.1553955078125,90.64570617675781,283.88043212890625,58591.71227652805,20761.549804607766,62161.32799244766,57782.5889099281,18045.02714872133,60534.70563182607,60934.14583007231,20504.047622714836,64291.41542192921,False,False
1547052268408333318,311.07232666015625,219.22042846679688,193.3919677734375,213.4515380859375,72.1038589477539,226.46763610839844,330.616943359375,283.29718017578125,210.73379516601562,283.16180419921875,90.69852447509766,283.87158203125,58526.14494314723,20776.498933327995,62104.52922157012,57693.86885896495,18015.853512195397,60441.32263351232,60931.78483919281,20499.495815421342,64287.72614096851,False,False
1547052268416666651,311.1826171875,219.00343322753906,193.47268676757812,213.45106506347656,72.169921875,226.5450897216797,330.6678466796875,283.2823791503906,210.78720092773438,283.1446533203125,90.75009155273438,283.8581848144531,58486.639199170226,20694.238511061292,62039.81360680098,57698.827710841666,17987.219061775406,60437.52781824953,60954.9332818722,20490.118037353906,64306.67794702341,False,False
1547052268424999984,311.3732604980469,219.33042907714844,193.4871826171875,214.10858154296875,72.24092102050781,226.86549377441406,330.7140808105469,283.2777099609375,210.83309936523438,283.11279296875,90.79975128173828,283.8367004394531,58625.049646148655,20577.10167114795,62131.42167372443,57860.15485782955,18072.311452614787,60616.87851920724,61044.15956532535,20494.810250111346,64392.75319649697,False,False
1547052268433333317,311.3410949707031,219.01095581054688,193.58554077148438,213.96803283691406,72.30353546142578,227.1289520263672,330.7658386230469,283.2720642089844,210.87994384765625,283.1152648925781,90.84767150878906,283.8156433105469,58508.33225745926,20632.441396022045,62039.685536836274,57838.89280855644,18008.611125924563,60577.61629516678,61115.77585488175,20501.41536595964,64462.749633813735,False,False
1547052268441666650,311.34356689453125,218.62451171875,193.68069458007812,213.77182006835938,72.35189819335938,226.8295440673828,330.8171691894531,283.2591552734375,210.93096923828125,283.1125183105469,90.89743041992188,283.809326171875,58384.849354455684,20644.891785695072,61927.39451152086,57799.132833200805,17947.411573194764,60521.478323382325,61033.35382941757,20475.421352189755,64376.34005763754,False,False
1547052268449999983,311.46136474609375,218.9769287109375,193.7082977294922,214.22451782226562,72.38417053222656,226.52447509765625,330.86541748046875,283.2566833496094,210.98074340820312,283.09698486328125,90.94975280761719,283.81170654296875,58503.51115257661,20606.989969473725,62026.67855674401,57911.39070421742,18006.84201624526,60646.315079273656,60944.62038045418,20469.383099654075,64290.29785121605,False,False
1547052268458333316,311.48211669921875,218.72850036621094,193.8458251953125,214.0238800048828,72.390380859375,226.48275756835938,330.9198913574219,283.2657165527344,211.0337371826172,283.10772705078125,91.00454711914062,283.81280517578125,58426.877603174384,20618.65906426434,61958.285386739764,57885.827894435606,17905.275126592303,60591.814202771515,60916.25668319869,20517.35394939856,64278.706749422476,False,False
1547052268466666649,311.6274719238281,218.5772705078125,193.96029663085938,214.08407592773438,72.41374206542969,226.5110626220703,330.9737243652344,283.2676086425781,211.0880126953125,283.10797119140625,91.05946350097656,283.8115234375,58419.709445052424,20511.249525562926,61915.860720369965,57920.943612456074,17849.48370449876,60608.908400287844,60912.28428864876,20553.375519718353,64286.44975821674,False,False
