,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-],PV-Generation [-]
1509950000808333302,340.425537109375,1.3109703063964844,229.21829223632812,1.0900274515151978,111.2255630493164,1.369137167930603,11.900788307189941,121.9031982421875,251.89822387695312,121.8048095703125,132.01991271972656,121.82515716552734,136.2977362311843,83.44239958626905,159.81147315027192,122.50386158429936,51.19406650904574,132.7705861582217,155.93041684135986,59.21481323883522,166.79535066431072,False,False,False
1509950000816666636,340.9020080566406,1.3271551132202148,229.33619689941406,1.1159557104110718,111.44896697998047,1.36860990524292,11.877949714660645,121.872314453125,251.87164306640625,121.76761627197266,131.99737548828125,121.78209686279297,138.6761764636623,83.24582058149944,161.74346528644676,125.51126939283596,52.079463443229855,135.887266721852,156.06782784385905,58.501709781170945,166.67218404767118,False,False,False
1509950000824999969,342.11651611328125,1.3591530323028564,228.61827087402344,1.1486736536026,111.81932067871094,1.368728756904602,11.822528839111328,121.84506225585938,251.8177947998047,121.736328125,131.9427032470703,121.755859375,143.8420537662667,82.06606627762281,165.60608583618156,128.5280353903277,55.08592220847174,139.8353128035087,156.47737217463086,57.33500811670072,166.6507460481953,False,False,False
1509950000833333302,343.29461669921875,1.38679039478302,227.80686950683594,1.155321717262268,112.65338897705078,1.37484610080719,11.79415512084961,121.86784362792969,251.79254150390625,121.76101684570312,131.91432189941406,121.78872680664062,148.52527197560653,80.64109369966711,169.00515497613196,128.52561879015948,57.18478489399672,140.67314707777768,158.06844287898244,55.23381385883952,167.44075617238195,False,False,False
1509950000841666635,343.3067321777344,1.4017583131790161,227.28855895996094,1.1500526666641235,113.37382507324219,1.376675009727478,11.821795463562012,121.9020767211914,251.82192993164062,121.79704284667969,131.94317626953125,121.8271713256836,150.14840975715234,81.57505392457784,170.87724943771624,127.42716414426128,58.1615600385653,140.0730139176285,158.98491965199872,53.409677234077684,167.7164222698566,False,False,False
1509950000849999968,343.1704406738281,1.3982652425765991,226.47540283203125,1.150490164756775,113.14966583251953,1.354620337486267,11.857198715209961,121.90657043457031,251.8566131591797,121.79169464111328,131.9816436767578,121.8213119506836,149.53525005426894,81.82324482926641,170.45772028037572,126.59517716764627,60.060941272835855,140.12014683366124,156.18789529430322,53.26798893121792,165.02162670765483,False,False,False
1509950000858333301,343.1630554199219,1.3820515871047974,225.45407104492188,1.150606393814087,112.41053771972656,1.3347989320755005,11.865642547607422,121.90412902832031,251.86187744140625,121.78096771240234,131.99127197265625,121.80732727050781,147.77599813550887,80.91366870013789,168.47779499821806,125.50039772207971,62.320252505878734,140.12196009475701,153.1858412914143,54.48899145619965,162.58829035964482,False,False,False
1509950000866666634,342.8939208984375,1.3705378770828247,225.30850219726562,1.1356807947158813,112.17564392089844,1.327188491821289,11.876370429992676,121.91908264160156,251.8714599609375,121.80371856689453,131.99935913085938,121.82511901855469,146.16914301242852,80.96435831066755,167.09472069950607,123.72850224792329,61.85860039855222,138.33014390140033,152.10352694995044,54.83176703531768,161.68489597618463,False,False,False
1509950000874999967,342.44818115234375,1.3670023679733276,226.2227783203125,1.107622504234314,112.42390441894531,1.329903483390808,11.908398628234863,121.92767333984375,251.90573120117188,121.8276138305664,132.0247802734375,121.84481811523438,145.12385217262928,81.97415784910262,166.67541817704478,121.60784347309148,58.48134693471562,134.9390067159029,152.65189966233027,54.35952581821558,162.04184804456963,False,False,False
1509950000883333300,341.8436279296875,1.3665815591812134,226.7324676513672,1.0956629514694214,112.40098571777344,1.343368411064148,11.929292678833008,121.91484832763672,251.9291229248047,121.82723236083984,132.03964233398438,121.84172821044922,144.16082312773975,83.51892447611813,166.60658351492293,120.78106663985723,56.82664401081324,133.4815849778288,154.1573100697102,55.01017251195883,163.67832882738094,False,False,False
1509950000891666633,341.4546203613281,1.3592729568481445,227.10504150390625,1.099905252456665,112.09892272949219,1.350414514541626,11.929291725158691,121.9076919555664,251.92889404296875,121.8200912475586,132.0410919189453,121.83643341064453,142.81413912895664,84.03893977557583,165.70582890697554,121.61020309644005,56.253250522949735,133.99055821793988,154.6640529658525,56.11638779471978,164.52968807771867,False,False,False
1509950000899999966,341.834716796875,1.3571490049362183,227.71133422851562,1.104318618774414,112.18864440917969,1.3514389991760254,11.91850471496582,121.90758514404297,251.91751098632812,121.80987548828125,132.03822326660156,121.83139038085938,143.15996952327953,82.9328211059244,165.44675787241522,122.68963748729965,55.1548081128847,134.5169134523021,154.86552866197488,55.90644512816978,164.64769228453224,False,False,False
1509950000908333299,342.232666015625,1.3646796941757202,227.67538452148438,1.1222870349884033,112.4670639038086,1.364403486251831,11.902738571166992,121.9032974243164,251.90335083007812,121.80095672607422,132.02615356445312,121.8232421875,144.54766372363636,82.34849545452043,166.35895464802798,124.65547247929055,56.095540776203514,136.69563458285666,156.62484666773415,55.64561792180744,166.21605634712614,False,False,False
1509950000916666632,342.4375915527344,1.3677949905395508,228.01991271972656,1.1382240056991577,112.6192398071289,1.3895108699798584,11.893104553222656,121.90657043457031,251.8948211669922,121.8066635131836,132.0129852294922,121.82693481445312,145.18959948465897,81.99557141651215,166.74319635426218,126.77974301227458,56.11463848543645,138.64326846482527,159.67472730936703,56.21075640822277,169.27985018101026,False,False,False
1509950000924999965,342.68194580078125,1.3648501634597778,228.47744750976562,1.1420468091964722,112.44927215576172,1.400869607925415,11.895976066589355,121.90592956542969,251.89401245117188,121.81062316894531,132.01145935058594,121.82459259033203,145.2197989847816,81.20727666861417,166.38332789409287,127.65601869120334,55.285515974918006,139.11343351632786,160.80961920352408,57.14217362674709,170.66036925769185,False,False,False
1509950000933333298,342.6441345214844,1.3653115034103394,228.75770568847656,1.1569937467575073,112.01248168945312,1.3997946977615356,11.881830215454102,121.87458801269531,251.87591552734375,121.78227996826172,131.9952850341797,121.79022979736328,145.1979804649524,81.27382026583696,166.3967769871288,129.58650222429912,55.32201223310994,140.90133638915086,160.21752968031672,58.25996000084105,170.4813179095081,False,False,False
1509950000941666631,342.634033203125,1.379270315170288,229.0973663330078,1.1764380931854248,111.92093658447266,1.4047787189483643,11.836129188537598,121.85333251953125,251.8328857421875,121.75414276123047,131.9534454345703,121.77108764648438,146.70786547815908,81.99929795776777,168.0686843487638,132.10656844024223,55.35762705724356,143.23621154744797,160.71194418603164,58.59765087415407,171.0614325089773,False,False,False
1509950000949999964,342.59381103515625,1.3856256008148193,229.0176239013672,1.1766809225082397,111.77058410644531,1.4120346307754517,11.808712005615234,121.87129974365234,251.80801391601562,121.75921630859375,131.9322052001953,121.78887176513672,147.3871685292795,82.4222153846844,168.86799292938122,132.08625448444332,55.49788154579568,143.2717469698764,161.43248270210267,59.272847040819165,171.97010457544363,False,False,False
1509950000958333297,342.7141418457031,1.3696467876434326,229.1552276611328,1.1562827825546265,111.44215393066406,1.410342812538147,11.813769340515137,121.88996887207031,251.8104705810547,121.76768493652344,131.93994140625,121.79843139648438,145.87348392966436,81.1908973978537,166.9462043115891,129.9338093806171,54.23326936730597,140.7978775636384,160.9015695307429,60.15154994378845,171.7775422984523,False,False,False
1509950000966666630,342.743408203125,1.3508765697479248,229.31326293945312,1.1351007223129272,111.47418212890625,1.4049566984176636,11.823264122009277,121.89868927001953,251.81715393066406,121.77224731445312,131.9495086669922,121.79744720458984,143.91229207547605,80.03429575224128,164.67008321785215,127.6985157168857,52.90461736883866,138.22376588430416,160.3092674236283,59.85850693293386,171.12013930026023,False,False,False
1509950000974999963,341.86553955078125,1.3459488153457642,228.85694885253906,1.1145009994506836,111.73350524902344,1.3898643255233765,11.83514404296875,121.90408325195312,251.83157348632812,121.78340911865234,131.959716796875,121.80989074707031,142.138054118667,81.96293527862208,164.07665643877772,124.96151051742187,52.977711353652204,135.72773117924953,158.85937808166835,58.53139708903304,169.29922164525306,False,False,False
1509950000983333296,341.3714599609375,1.352630853652954,228.0950164794922,1.1106212139129639,111.71129608154297,1.3721954822540283,11.849339485168457,121.89616394042969,251.85012817382812,121.78887939453125,131.9697265625,121.8166732788086,142.0981547841272,83.62833096039691,164.88051228776385,123.80137191563183,54.48709137381734,135.26131307425385,156.81606728080774,57.87871721718285,167.15628873639616,False,False,False
1509950000991666629,342.0146484375,1.356500267982483,227.47232055664062,1.1255043745040894,112.08516693115234,1.3692234754562378,11.849932670593262,121.88211822509766,251.8511199951172,121.78372955322266,131.96649169921875,121.80490112304688,143.41974774681617,82.25459574162633,165.33312603461764,124.8466408651105,56.57725587644319,137.06812035557505,156.83799035534096,56.716747456447216,166.77813004330164,False,False,False
1509950001000000000,342.595458984375,1.35602867603302,227.12435913085938,1.1321055889129639,112.84064483642578,1.3609442710876465,11.84290599822998,121.88477325439453,251.84234619140625,121.7822494506836,131.96072387695312,121.80233001708984,144.2090819897051,80.75252561704681,165.2792477047415,125.23826190987518,57.65080540127258,137.87036523351162,156.62155616938406,54.29655283406829,165.7661832418853,False,False,False
1509950001008333333,342.4925842285156,1.3553615808486938,226.8677215576172,1.1203373670578003,112.94125366210938,1.3459110260009766,11.84569263458252,121.89239501953125,251.841796875,121.7876968383789,131.96554565429688,121.80647277832031,143.9980520174417,80.98353678118498,165.20826920710533,123.68571055745926,57.60747518400078,136.443307615943,154.98631014522945,53.43957807896978,163.9406747506291,False,False,False
1509950001016666666,342.1742858886719,1.3587439060211182,226.31094360351562,1.098772406578064,112.95346069335938,1.333339810371399,11.854203224182129,121.88922882080078,251.84738159179688,121.78987121582031,131.97323608398438,121.80201721191406,143.88824383349507,82.00557611392416,165.6162468698767,120.74671327586982,57.68751718321322,133.81934989263937,153.5372475225762,52.92639665182029,162.40347853218736,False,False,False
1509950001024999999,342.0188293457031,1.360680341720581,225.53024291992188,1.08860182762146,112.9996337890625,1.3204127550125122,11.855618476867676,121.88903045654297,251.84906005859375,121.7846908569336,131.97532653808594,121.79672241210938,143.8676890846165,82.51652238741936,165.85200761359917,118.83242379742863,58.779209772051665,132.57503704317241,152.08233607896133,52.29398914773962,160.82194579166753,False,False,False
1509950001033333332,342.08160400390625,1.3546661138534546,225.24363708496094,1.092871069908142,112.59737396240234,1.3134764432907104,11.85627555847168,121.89686584472656,251.85321044921875,121.78253936767578,131.9784393310547,121.80207824707031,143.3299859780655,82.00173518548101,165.12955354479166,118.99536585308174,59.61331086343455,133.09261409488226,150.91823831191238,53.09064854151907,159.98416052137873,False,False,False
1509950001041666665,342.00103759765625,1.3562649488449097,225.40756225585938,1.1008203029632568,112.32418060302734,1.3198394775390625,11.862552642822266,121.90084838867188,251.86444091796875,121.78462982177734,131.98728942871094,121.81285858154297,143.37923251199197,82.31861449414866,165.32984790401312,120.02256520518847,59.72830116122467,134.06299309667702,151.39830287463104,54.09848746036471,160.77341962780338,False,False,False
1509950001049999998,342.13287353515625,1.3678984642028809,226.1255645751953,1.1146113872528076,112.7114028930664,1.3351075649261475,11.871770858764648,121.90931701660156,251.8758087158203,121.79444122314453,131.9986572265625,121.82701873779297,144.79649103437535,82.72079269002718,166.7595675190314,122.27266108652523,58.9779727032554,135.75347109140966,153.52323198123253,53.72473411811257,162.6521743292269,False,False,False
1509950001058333331,342.8006896972656,1.3819760084152222,227.18350219726562,1.142964243888855,113.0297622680664,1.3616241216659546,11.895505905151367,121.92823791503906,251.899658203125,121.8133316040039,132.02261352539062,121.8459701538086,147.23969297264028,81.93511435425826,168.50189954692723,126.47362309413683,58.214579755198095,139.2282824523527,156.87622359733925,53.99492264836248,165.90841208921574,False,False,False
1509950001066666664,342.5689697265625,1.3964192867279053,227.83023071289062,1.1695438623428345,112.58473205566406,1.3993419408798218,11.92267894744873,121.93252563476562,251.92572021484375,121.81930541992188,132.04705810546875,121.84913635253906,148.408126481665,83.46578148909676,170.26893047583144,130.0588222684303,58.1658357982328,142.47302096873682,160.76587761056214,56.811245743205404,170.50860695809206,False,False,False
1509950001074999997,341.75042724609375,1.4044132232666016,228.4867401123047,1.176196575164795,112.31134033203125,1.418574571609497,11.932154655456543,121.9255142211914,251.93309020996094,121.81503295898438,132.0531005859375,121.84188079833984,148.02052447315168,86.08681729994157,171.2338044258213,131.44836175772969,57.00907943875407,143.27842456994404,162.6829485570719,58.382736769445046,172.84179385760035,False,False,False
1509950001083333330,341.73583984375,1.3962315320968628,228.93728637695312,1.1607342958450317,112.46532440185547,1.4196984767913818,11.929641723632812,121.92372131347656,251.93006896972656,121.814208984375,132.0493621826172,121.84001159667969,147.13799805371463,85.61505239137921,170.2337442084663,130.16075719215516,55.23061427587431,141.39393008939805,162.96956333738987,57.97969721337024,172.97607887605042,False,False,False
1509950001091666663,342.20751953125,1.3774888515472412,228.76156616210938,1.1361615657806396,112.83341979980469,1.4154011011123657,11.922748565673828,121.91596984863281,251.9232940673828,121.80760192871094,132.04251098632812,121.83356475830078,145.85402199150553,83.24505347931527,167.9378892920613,127.2383921741762,54.4338684896641,138.39311573130908,162.84243557624416,56.736709226972856,172.44336171134364,False,False,False
