,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1523963756508333314,133.8562469482422,46.69306945800781,354.8360595703125,31.5701904296875,260.22711181640625,16.80850601196289,141.59091186523438,122.83634185791016,21.727741241455078,122.01541900634766,262.0521240234375,122.69033813476562,5683.4230390476305,771.9306561445583,5735.605842338991,3435.5016733995208,1742.3023726424437,3852.0500133885066,2061.1952202483267,65.67637565120332,2062.2412861479684,False,False
1523963756516666647,133.85086059570312,46.638771057128906,354.99481201171875,31.514541625976562,259.8777160644531,16.599515914916992,141.64627075195312,122.83549499511719,21.784799575805664,122.012939453125,262.11004638671875,122.69461822509766,5675.954129866535,777.0457856281247,5728.896528766374,3432.457709678021,1733.106344800237,3845.1818593032663,2035.1256303732475,79.33172187805266,2036.671267902173,False,False
1523963756524999980,133.79652404785156,46.47043991088867,354.9265441894531,31.23613166809082,259.6549072265625,16.383556365966797,141.69711303710938,122.84004211425781,21.8400936126709,122.00025177001953,262.1697692871094,122.69725799560547,5654.246657647288,784.6508038789005,5708.430795721652,3398.068405761208,1724.9490269452403,3810.8159278285602,2008.2813485438505,88.20538816170608,2010.2174423205724,False,False
1523963756533333313,133.7765350341797,46.3531608581543,354.878173828125,31.105045318603516,259.7987060546875,16.67273712158203,141.7486572265625,122.84760284423828,21.89327621459961,122.00009155273438,262.2237548828125,122.69966888427734,5639.342365350252,789.7600022408874,5694.37469567763,3380.753704600343,1723.7026716855503,3794.8183766215807,2043.9072157801475,86.56024440896678,2045.7393242127146,False,False
1523963756541666646,133.8651123046875,46.47599411010742,355.14727783203125,31.39393424987793,260.5767822265625,17.135265350341797,141.8029327392578,122.8503646850586,21.94405746459961,122.01007843017578,262.2726745605469,122.69557189941406,5654.886484795514,788.4853057541496,5709.592825527331,3419.036700286626,1726.838514456404,3830.376380059388,2101.500288515735,62.220278727389996,2102.4211818084004,False,False
1523963756549999979,133.9768524169922,46.65599060058594,355.1807556152344,31.5535831451416,260.847900390625,17.21908950805664,141.8591766357422,122.84935760498047,21.99795913696289,122.0147476196289,262.32574462890625,122.69424438476562,5677.504720282765,786.0337208877157,5731.658473705989,3435.936251358772,1736.9113975719667,3850.0024839494295,2111.9804399277273,54.486918580197795,2112.683176184655,False,False
1523963756558333312,134.03427124023438,46.595340728759766,355.0123596191406,31.400365829467773,260.4021301269531,16.774368286132812,141.91262817382812,122.84675598144531,22.0523681640625,122.00650024414062,262.38507080078125,122.6947250366211,5670.058581992085,784.6026963235183,5724.086452378251,3412.2740990810203,1741.6428825939702,3831.048741239065,2056.8940443457805,71.21515979111757,2058.1265045300825,False,False
1523963756566666645,134.05075073242188,46.409141540527344,355.0422668457031,31.253324508666992,260.3413391113281,16.556589126586914,141.9583282470703,122.84384155273438,22.098941802978516,121.99420166015625,262.4361267089844,122.68757629394531,5646.867266848615,784.3287914209938,5701.077230002964,3395.4484440582733,1734.3001486543806,3812.724372660625,2029.9303292376242,74.2492484084251,2031.2877916356374,False,False
1523963756574999978,134.06114196777344,46.33445739746094,355.18597412109375,31.30217170715332,260.63623046875,16.695192337036133,142.0059814453125,122.84598541259766,22.147241592407227,121.99369812011719,262.4826965332031,122.68862915039062,5637.367943769109,786.7466665883444,5692.002077549113,3403.6290016393477,1731.3383590056385,3818.6676857465354,2047.246692520006,65.99928968240265,2048.3102612330695,False,False
1523963756583333311,134.16162109375,46.403724670410156,355.279296875,31.42512321472168,260.56610107421875,16.745576858520508,142.06031799316406,122.84503936767578,22.2039794921875,121.9986572265625,262.5367736816406,122.69466400146484,5646.384706625364,783.3697340265564,5700.4673839433235,3418.246182464384,1736.0272374340611,3833.822835375322,2053.377757190571,70.65322731480174,2054.5929261668784,False,False
