,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-],PV-Generation [-]
1519325779558333312,96.09307861328125,24.865013122558594,346.0727233886719,18.387195587158203,233.0021209716797,25.513755798339844,278.1617736816406,118.69756317138672,157.82359313964844,120.08319091796875,38.28791809082031,117.38086700439453,-2949.4929267934963,-106.53933460006928,-2951.4164658722584,-2185.1482606986665,316.7975513063145,-2207.993118138751,-2896.6108922178983,760.6791427499722,-2994.8267761475295,False,False,True
1519325779566666645,96.23362731933594,24.993764877319336,345.8365783691406,18.400503158569336,233.1845703125,25.50493621826172,278.1614990234375,118.6983642578125,157.8220672607422,120.0858383178711,38.28672409057617,117.38233947753906,-2965.039753406269,-99.80446217396357,-2966.7190075821713,-2188.0578288246998,308.07660143378115,-2209.6398472674337,-2893.1937455368775,769.7028778502706,-2993.829081524979,False,False,True
1519325779574999978,96.71987915039062,25.06028938293457,345.8440246582031,18.47345542907715,233.45529174804688,25.439729690551758,278.1623840332031,118.69586181640625,157.82177734375,120.08589935302734,38.28730010986328,117.38493347167969,-2973.609979242384,-74.88079358508374,-2974.552645675955,-2196.6921317477954,309.594791691826,-2218.401509358795,-2882.208751479069,781.3500413910139,-2986.2409772629326,False,False,True
1519325779583333311,97.03875732421875,25.02201271057129,345.960205078125,18.53521156311035,233.5377197265625,25.37856101989746,278.1636047363281,118.69509887695312,157.8226318359375,120.08699035644531,38.28951644897461,117.3837661743164,-2969.417934171772,-58.30396758875577,-2969.9902727816375,-2203.425912067375,315.0683074084986,-2225.8377722339064,-2874.1559867333026,783.4880314612336,-2979.0310726002645,False,False,True
1519325779591666644,97.05768585205078,24.978181838989258,345.93206787109375,18.561140060424805,233.4710235595703,25.344560623168945,278.1646423339844,118.69627380371094,157.822265625,120.09064483642578,38.290199279785156,117.3780746459961,-2964.263798494477,-57.2768078136515,-2964.817110679549,-2206.7280553555456,314.44909726536156,-2229.01927875563,-2871.08433185192,779.0246183593229,-2974.8957286962973,False,False,True
1519325779599999977,96.97796630859375,24.948705673217773,345.89501953125,18.58900260925293,233.31593322753906,25.33843231201172,278.1646728515625,118.69775390625,157.8206024169922,120.09174346923828,38.289581298828125,117.37516784667969,-2960.720161499217,-61.33101803694824,-2961.3553262790665,-2210.2549147065256,313.559040015598,-2232.385732699404,-2872.4083166206997,771.0756149423008,-2974.1027455941075,False,False,True
1519325779608333310,96.82853698730469,24.92673110961914,345.99383544921875,18.594301223754883,233.18624877929688,25.39620018005371,278.163330078125,118.69892120361328,157.8197784423828,120.08848571777344,38.28872299194336,117.3758544921875,-2957.9732220887895,-68.92299380701093,-2958.7760918443378,-2210.276174834907,317.4841546583117,-2232.961476940866,-2880.7042250584273,766.3629251449709,-2980.9006969884504,False,False,True
1519325779616666643,96.71068572998047,24.91595458984375,346.25128173828125,18.565019607543945,233.2217559814453,25.492868423461914,278.16259765625,118.69947052001953,157.821044921875,120.08644104003906,38.28831100463867,117.3762435913086,-2956.561088044894,-74.93720165271652,-2957.5106173153035,-2205.318617002357,326.84240848237886,-2229.407132508495,-2891.196102449114,771.0952292933449,-2992.2571339134447,False,False,True
1519325779624999976,96.67029571533203,24.936492919921875,346.428955078125,18.532947540283203,233.3323516845703,25.559267044067383,278.163818359375,118.6985092163086,157.82266235351562,120.0892562866211,38.28955078125,117.37615966796875,-2958.9189829657944,-77.14728272614062,-2959.9245346777607,-2200.5474348347093,333.0487251520128,-2225.6078869115736,-2897.2435877749676,778.6342227413023,-3000.0486095607052,False,False,True
1519325779633333309,96.89427947998047,25.004274368286133,346.4718322753906,18.52889633178711,233.59152221679688,25.558984756469727,278.1654052734375,118.69863891601562,157.82400512695312,120.09162139892578,38.290950775146484,117.37702941894531,-2967.2429628189843,-65.84006748977693,-2967.9733345981804,-2199.8677745791474,334.5772795268623,-2225.1652032169222,-2893.700729178281,791.657959882885,-3000.0377056785214,False,False,True
1519325779641666642,97.38775634765625,25.03421401977539,346.66070556640625,18.573823928833008,233.93722534179688,25.500383377075195,278.1659851074219,118.7032241821289,157.82540893554688,120.08885955810547,38.29103469848633,117.37728118896484,-2971.3678063545567,-40.36154350049807,-2971.6419190127926,-2204.0419938838113,342.5941839799555,-2230.509333246606,-2882.2552821606378,807.245450273183,-2993.1656700773597,False,False,True
1519325779649999975,97.75444030761719,25.00165557861328,346.89825439453125,18.612079620361328,234.12939453125,25.441614151000977,278.1669921875,118.70657348632812,157.82603454589844,120.08523559570312,38.291934967041016,117.37672424316406,-2967.7839302963916,-21.369567002705487,-2967.8608652225225,-2207.076503069396,352.41889779813795,-2235.035966137075,-2872.894474416404,814.976245582086,-2986.253328503022,False,False,True
1519325779658333308,97.91078186035156,24.98575782775879,346.9093017578125,18.618249893188477,234.1912841796875,25.400516510009766,278.16827392578125,118.7013168334961,157.82589721679688,120.08357238769531,38.2937126159668,117.37681579589844,-2965.8124060345817,-13.328700820343583,-2965.842356237801,-2207.7087544617757,352.96182184190417,-2235.745958780899,-2867.4006896402593,816.6691803585044,-2981.4317475160933,False,False,True
1519325779666666641,97.88035583496094,24.991968154907227,346.7899475097656,18.639238357543945,234.1171875,25.393280029296875,278.16839599609375,118.69255828857422,157.8258819580078,120.08280944824219,38.29399108886719,117.3770751953125,-2966.3231522875935,-14.912571293700905,-2966.3606369725167,-2210.914674247299,348.75321064832895,-2238.2521079493163,-2867.6475125426196,812.7165371801348,-2980.5889394544065,False,False,True
1519325779674999974,97.72091674804688,25.004968643188477,346.90765380859375,18.687990188598633,233.97898864746094,25.49640655517578,278.1678466796875,118.68913269042969,157.82644653320312,120.08272552490234,38.29240417480469,117.37574768066406,-2967.727751411625,-23.14992961879455,-2967.818041211431,-2215.976353628449,354.1964673986859,-2244.104796429557,-2881.1984078297933,809.14047545184,-2992.659782583942,False,False,True
1519325779683333307,97.58958435058594,25.044219970703125,347.2705993652344,18.70683479309082,233.9943389892578,25.668128967285156,278.16754150390625,118.69104766845703,157.82635498046875,120.08269500732422,38.29096221923828,117.37370300292969,-2972.3734764092574,-29.984106982281755,-2972.5247063620473,-2215.9193051278135,368.60133939722897,-2246.367137011126,-2900.3143544635545,815.4260386921168,-3012.763346047025,False,False,True
1519325779691666640,97.5102767944336,25.105867385864258,347.4532165527344,18.67388916015625,234.12112426757812,25.779603958129883,278.16748046875,118.6932373046875,157.8255615234375,120.08240509033203,38.29191970825195,117.3740463256836,-2979.700645998139,-34.179761875129806,-2979.8966753704008,-2210.8222000951255,375.03030276187974,-2242.405522741843,-2911.113178783697,825.3648833581201,-3025.856429239313,False,False,True
1519325779699999973,97.7330551147461,25.165456771850586,347.4563293457031,18.683826446533203,234.35203552246094,25.772329330444336,278.168212890625,118.69184875488281,157.82666015625,120.08329772949219,38.29371643066406,117.37512969970703,-2986.8484416742926,-22.685358809628102,-2986.934589012031,-2212.0019371390076,375.3104242953865,-2243.6154939052067,-2906.995737009159,836.7707558099313,-3025.030497824468,False,False,True
1519325779708333306,98.289306640625,25.15727996826172,347.6195068359375,18.742305755615234,234.66522216796875,25.681123733520508,278.16998291015625,118.6898422241211,157.82870483398438,120.08403015136719,38.29486846923828,117.37471771240234,-2985.9071149870933,6.218435178309043,-2985.9135902210255,-2217.8713423699533,382.72624142392715,-2250.6516094634426,-2892.1141424061652,849.5696493041806,-3014.314648759246,False,False,True
1519325779716666639,98.63473510742188,25.0687255859375,347.86151123046875,18.756662368774414,234.81130981445312,25.59362030029297,278.1714172363281,118.68954467773438,157.8292236328125,120.08184051513672,38.2958984375,117.37481689453125,-2975.298345079657,24.06004342056321,-2975.395625445992,-2217.8957620109545,392.3636899133417,-2252.3345391634357,-2880.1094691817557,853.9700218117111,-3004.0464964150456,False,False,True
1519325779724999972,98.65382385253906,25.000139236450195,347.9499206542969,18.747230529785156,234.80490112304688,25.545272827148438,278.1716003417969,118.6882095336914,157.82943725585938,120.07831573486328,38.295928955078125,117.3746566772461,-2967.1166722401326,24.97299479570344,-2967.2217640672607,-2216.109144800395,395.5666172964942,-2251.13586670981,-2874.760666101314,852.0325957112639,-2998.3676278131315,False,False,True
1519325779733333305,98.58534240722656,24.997779846191406,347.898681640625,18.746204376220703,234.77255249023438,25.535634994506836,278.1708068847656,118.68501281738281,157.83029174804688,120.07794952392578,38.29494094848633,117.3724365234375,-2966.7841710563375,21.465086888459616,-2966.8618214513413,-2216.3397986730547,393.52881883751274,-2251.005782853026,-2874.087449447748,850.1220335362393,-2997.1796974784233,False,False,True
1519325779741666638,98.46995544433594,25.049522399902344,347.8839111328125,18.716283798217773,234.82948303222656,25.598770141601562,278.1702575683594,118.6849136352539,157.83026123046875,120.0798110961914,38.295501708984375,117.36962127685547,-2972.959731524708,15.550845987273771,-2973.000402636767,-2212.9376386099284,392.33751329504366,-2247.4478229126976,-2880.284506410894,855.0376097576991,-3004.5179566730512,False,False,True
1519325779749999971,98.54115295410156,25.166015625,348.0235290527344,18.65241050720215,235.23477172851562,25.684062957763672,278.1710205078125,118.6895980834961,157.830078125,120.07955932617188,38.29796600341797,117.36650848388672,-2986.8819545529277,19.295615018896537,-2986.9442798942327,-2204.4203013342417,396.3776925450458,-2239.7732340756916,-2883.7020355941904,878.1594933315578,-3014.4487930330506,False,False,True
