,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1519416715324999988,192.81236267089844,217.586181640625,74.09963989257812,221.07875061035156,311.7655944824219,227.85781860351562,204.14114379882812,283.1260070800781,84.281494140625,282.8312683105469,324.2486572265625,283.7564697265625,60404.01502598082,12101.470386147583,61604.30680371076,61543.27035726405,11053.261317808074,62527.98343163682,63127.655820729,13975.487249581605,64656.13020652905,False,False
1519416715333333321,192.72787475585938,216.92906188964844,74.13021087646484,220.60069274902344,311.72259521484375,227.655517578125,204.087890625,283.1207275390625,84.226806640625,282.8351135253906,324.19293212890625,283.75335693359375,60213.88328968372,12097.525778497646,61417.11382656358,61427.369244835085,10938.115519759474,62393.62197744986,63074.01645955917,13948.917218286777,64598.01733724773,False,False
1519416715341666654,192.72000122070312,217.18197631835938,74.24781799316406,221.4898223876953,311.6488037109375,228.67628479003906,204.03453063964844,283.1143493652344,84.16988372802734,282.84332275390625,324.1357727050781,283.7377014160156,60292.32375873738,12063.495690149077,61487.33391922805,61709.9098721867,10794.594633618051,62646.917320308276,63349.263890619564,14029.078554195119,64884.08341467985,False,False
1519416715349999987,192.6233367919922,217.32608032226562,74.21382904052734,221.4147491455078,311.58734130859375,228.93223571777344,203.9766845703125,283.1015319824219,84.11512756347656,282.8470764160156,324.0770263671875,283.7407531738281,60321.40533059697,12111.82454004275,61525.34627896827,61693.71942912172,10768.71848509736,62626.51447119238,63420.18519669616,14047.938369547364,64957.404988329385,False,False
1519416715358333320,192.528564453125,216.9046173095703,74.08566284179688,220.1210174560547,311.6012268066406,227.89524841308594,203.92616271972656,283.1195983886719,84.07057189941406,282.8609924316406,324.0303039550781,283.7779541015625,60198.91075297291,12135.603605793473,61409.948141334105,61320.57031308752,10795.81861852875,62263.64945268212,63155.94933484721,13919.340279557166,64671.647344132885,False,False
1519416715366666653,192.47430419921875,216.44537353515625,73.99700164794922,219.23971557617188,311.60626220703125,227.03143310546875,203.88267517089844,283.1170654296875,84.02802276611328,282.84716796875,323.98968505859375,283.7721252441406,60068.63855064889,12121.095288030363,61279.37898110598,61063.4021232792,10801.21747892937,62011.33265699446,62926.29932131296,13816.159115128019,64425.19226956181,False,False
1519416715374999986,192.3303985595703,216.184326171875,73.96014404296875,218.87745666503906,311.5812683105469,227.03555297851562,203.83099365234375,283.0964660644531,83.97531127929688,282.82763671875,323.93719482421875,283.74664306640625,59972.263496480366,12202.143586240107,61201.018757782884,60961.276164717776,10765.757839579088,61904.593799583614,62928.41314253069,13784.971287143053,64420.57601437904,False,False
1519416715383333319,192.22042846679688,215.66844177246094,74.03783416748047,218.79568481445312,311.5065002441406,227.34934997558594,203.78012084960938,283.10687255859375,83.92119598388672,282.83892822265625,323.8837890625,283.7440490722656,59818.76187875105,12235.178972684047,61057.21805978659,60965.530559609666,10621.946210420409,61883.936992662035,63009.66245230517,13827.391621918718,64509.025116020355,False,False
1519416715391666652,192.2176513671875,215.0962371826172,74.16266632080078,219.34841918945312,311.3153991699219,227.82998657226562,203.73423767089844,283.1142578125,83.86853790283203,282.85040283203125,323.83343505859375,283.726318359375,59670.772960770046,12158.145870297332,60896.81154821813,61154.72049673239,10459.818074505942,62042.78872830606,63104.69760917572,14010.816864035962,64641.363302014775,False,False
1519416715399999985,192.23826599121094,215.16627502441406,74.08749389648438,219.84446716308594,311.19219970703125,227.8649444580078,203.68556213378906,283.1167907714844,83.818359375,282.8611145019531,323.781982421875,283.7275390625,59705.40111091291,12090.018157939667,60917.1852671667,61290.76156154761,10510.607172493195,62185.450998838525,63097.0549925354,14092.049269373874,64651.559929683805,False,False
1519416715408333318,192.2354736328125,215.58607482910156,73.87108612060547,219.56077575683594,311.2569274902344,227.20477294921875,203.63731384277344,283.120361328125,83.77448272705078,282.85797119140625,323.73663330078125,283.74676513671875,59832.23537697978,12066.294697865877,61036.80740292743,61179.104402865734,10681.20032395506,62104.51558378991,62945.39406363226,13931.268671828138,64468.619347963475,False,False
1519416715416666651,192.21542358398438,216.25180053710938,73.75361633300781,219.9040985107422,311.2705993652344,227.38290405273438,203.5856170654297,283.1067199707031,83.72451782226562,282.83349609375,323.6878662109375,283.736083984375,60020.78023042791,12069.82199965187,61222.33793781977,61256.82144660197,10769.155805315719,62196.24498713761,63007.528374376845,13873.010933561103,64516.73476091772,False,False
1519416715424999984,192.20631408691406,217.0830078125,73.70873260498047,221.07130432128906,311.16693115234375,228.2875213623047,203.5315399169922,283.107421875,83.6695785522461,282.82916259765625,323.63458251953125,283.7316589355469,60261.122226512845,12068.953596917037,61457.81067466736,61582.91560378836,10815.342618027707,62525.41187556181,63244.937796167425,13983.607394712517,64772.397150410805,False,False
1519416715433333317,192.230224609375,217.90638732910156,73.69757080078125,222.29237365722656,311.0748291015625,229.19972229003906,203.48805236816406,283.133544921875,83.62202453613281,282.8455810546875,323.5913391113281,283.7349548339844,60509.479903454536,12044.67803105265,61696.60790560767,61933.55387062018,10836.375818411092,62874.415591103956,63486.39688399411,14093.789543682808,65031.972851925995,False,False
