,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1531757569908333299,255.6698455810547,30.142635345458984,128.3849334716797,28.431180953979492,14.098508834838867,26.516597747802734,259.9601745605469,122.44679260253906,139.99484252929688,122.36412811279297,20.00151252746582,122.46544647216797,3680.526373445176,276.11542355782336,3690.8690186393787,3407.778813414396,700.1307457850029,3478.9566686507455,3230.147581370056,333.97442873885745,3247.366982107545,False,False
1531757569916666632,255.6615447998047,30.240800857543945,128.43113708496094,28.45045280456543,14.103963851928711,26.457576751708984,260.0096130371094,122.44613647460938,140.04263305664062,122.36038208007812,20.05187225341797,122.45604705810547,3692.2119242420863,280.73409634555117,3702.86922890431,3409.9649481471824,700.6783213012869,3481.2082755178562,3222.4483743161272,335.7311364976614,3239.8902637507126,False,False
1531757569924999965,255.601806640625,30.24306297302246,128.12362670898438,28.251537322998047,14.103429794311523,26.382551193237305,260.0620422363281,122.44204711914062,140.09523010253906,122.35999298095703,20.103164672851562,122.45061492919922,3691.8081074153292,287.9736817795003,3703.0225415699533,3381.6730624980055,717.0452553595397,3456.8579085432866,3212.8638359299107,337.6705655647739,3230.5596170129866,False,False
1531757569933333298,255.63644409179688,30.107519149780273,128.04275512695312,28.085346221923828,14.086875915527344,26.369985580444336,260.1175537109375,122.43562316894531,140.15322875976562,122.35528564453125,20.15835189819336,122.45122528076172,3674.964598871354,288.0068798194195,3686.232869174303,3359.913351703435,720.9454527497955,3436.3905594090465,3210.9244823982353,341.5321450008078,3229.0370449614275,False,False
1531757569941666631,255.6761016845703,29.963708877563477,128.1346893310547,28.100629806518555,14.094542503356934,26.442060470581055,260.1712341308594,122.42705535888672,140.21090698242188,122.34850311279297,20.21227264404297,122.4511489868164,3657.084727473144,287.50620071765763,3668.368645511029,3361.9860581283856,719.2878590338132,3438.0699933542783,3219.4211122670313,345.064523152918,3237.8606862015295,False,False
1531757569949999964,255.7423858642578,30.055553436279297,128.66729736328125,28.393966674804688,14.203742027282715,26.48878288269043,260.22454833984375,122.4219741821289,140.26913452148438,122.35086059570312,20.266986846923828,122.45844268798828,3668.2073363382624,287.54513371464293,3679.46018680578,3403.047738798276,698.6590952887849,3474.0262583880685,3225.62912358955,342.62758173976255,3243.7751005145115,False,False
1531757569958333297,255.79263305664062,30.345178604125977,129.22457885742188,28.71147346496582,14.46898078918457,26.538217544555664,260.2822265625,122.42436981201172,140.32907104492188,122.35697174072266,20.328067779541016,122.46916961669922,3703.590173798155,290.80203706434094,3714.989367443064,3447.2761223947577,676.6093723162564,3513.0489473873313,3233.134756838931,331.7788188287214,3250.1134657890507,False,False
1531757569966666630,255.67391967773438,30.608129501342773,128.91795349121094,28.58641242980957,14.66225814819336,26.661144256591797,260.3475036621094,122.43241882324219,140.39492797851562,122.36444854736328,20.39506721496582,122.47496795654297,3734.9673532948505,305.3366457424435,3747.4273305044335,3428.0179812729793,696.0036132796548,3497.9605929211393,3248.9913867226433,326.17155328193326,3265.3227885108504,False,False
1531757569974999963,255.45484924316406,30.746122360229492,128.49569702148438,28.311220169067383,14.571964263916016,26.836498260498047,260.4169921875,122.43852996826172,140.465576171875,122.36749267578125,20.464515686035156,122.47762298583984,3750.4008929380857,325.62073509990864,3764.5100240108,3389.0463546944206,718.5021041902612,3464.373026680784,3269.503257639716,337.44071866048455,3286.8705162094257,False,False
1531757569983333296,255.49679565429688,30.69529151916504,128.40310668945312,28.215957641601562,14.480087280273438,26.95720100402832,260.484619140625,122.44308471679688,140.53318786621094,122.36972045898438,20.531824111938477,122.4849853515625,3744.1937639468606,326.77271564224543,3758.426179887902,3375.6888248875944,725.5389295000012,3452.778849085327,3283.4514869994696,348.1025803404528,3301.8523700975347,False,False
