,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-],PV-Generation [-]
1507668449108333329,227.10076904296875,19.266157150268555,118.508544921875,12.644909858703613,8.735498428344727,19.4737606048584,49.45073699951172,121.58245849609375,289.4699401855469,121.15068817138672,169.7081756591797,121.53893280029297,-2340.456808658452,-96.04694563718685,-2342.4267521017464,-1512.9170000026945,240.66756844331314,-1531.9395312470951,-2237.504638440914,771.6283375144762,-2366.820081522877,False,False,True
1507668449116666662,227.15469360351562,19.19097900390625,118.6850814819336,12.706751823425293,8.479984283447266,19.450969696044922,49.49074935913086,121.5780258178711,289.5125732421875,121.15437316894531,169.74766540527344,121.543212890625,-2331.2623167298175,-95.10261478919716,-2333.201340807136,-1519.793033497411,245.4044578982506,-1539.4785521804442,-2238.9035016911203,759.2348845949408,-2364.133350695483,False,False,True
1507668449124999995,227.3126678466797,19.133150100708008,119.08804321289062,12.737981796264648,8.523279190063477,19.464176177978516,49.530128479003906,121.57838439941406,289.5551452636719,121.15989685058594,169.7899169921875,121.54340362548828,-2324.435569717528,-90.0052224212781,-2326.177477715566,-1522.0201754978966,255.59729603181623,-1543.332560520066,-2240.413314425213,759.7923656098484,-2365.7422214376566,False,False,True
1507668449133333328,227.52313232421875,19.121891021728516,119.28193664550781,12.70132827758789,8.810993194580078,19.43480110168457,49.57241439819336,121.5801010131836,289.5982971191406,121.15995025634766,169.83212280273438,121.53773498535156,-2323.354564237113,-83.13422405201622,-2324.8414419848414,-1516.9654569760924,258.8538592062023,-1538.8923023020907,-2233.6566648791368,768.1883918665322,-2362.0617057895583,False,False,True
1507668449141666661,227.58055114746094,19.107267379760742,119.17374420166016,12.671454429626465,8.883358001708984,19.387920379638672,49.612457275390625,121.5794677734375,289.6365966796875,121.15122985839844,169.87020874023438,121.53157043457031,-2321.5907514646797,-82.36615457022975,-2323.0513986360747,-1513.943867978278,254.35647398328305,-1535.1622882438971,-2227.696748762479,767.6294163555817,-2356.244411197898,False,False,True
1507668449149999994,227.6465301513672,19.072696685791016,119.02734375,12.717415809631348,8.760257720947266,19.357194900512695,49.65007019042969,121.57670593261719,289.6705322265625,121.14971923828125,169.90638732910156,121.52946472167969,-2317.3780842712154,-81.06798080439793,-2318.7956363104167,-1520.2121799415593,250.49232859463416,-1540.711354773317,-2226.2497637699335,760.21372083594,-2352.469534772535,False,False,True
1507668449158333327,227.77587890625,19.06981658935547,118.91840362548828,12.78087043762207,8.654427528381348,19.327810287475586,49.69022750854492,121.57550811767578,289.7107849121094,121.15523529052734,169.94775390625,121.53316497802734,-2317.1286870836625,-77.44799803880093,-2318.422641561774,-1528.5173321830337,247.77437283065058,-1548.4693650878473,-2224.880749876639,753.3694343266847,-2348.969956331784,False,False,True
1507668449166666660,227.75579833984375,19.05965232849121,118.97889709472656,12.780763626098633,8.606541633605957,19.3150577545166,49.734764099121094,121.57625579833984,289.7590637207031,121.15443420410156,169.9949188232422,121.53679656982422,-2315.8191229399386,-80.01898389066791,-2317.201166916071,-1528.441595595229,248.0965119131776,-1548.4461858163413,-2224.725161836859,749.2051820908722,-2347.49024504509,False,False,True
1507668449174999993,227.6304931640625,19.054840087890625,119.0955810546875,12.741172790527344,8.651704788208008,19.330886840820312,49.78236389160156,121.57891845703125,289.8079833984375,121.15440368652344,170.04244995117188,121.53678131103516,-2315.0331593381793,-86.98713475572465,-2316.6668492574245,-1523.4129917288356,249.1298530446416,-1543.6491917032984,-2226.5790775523465,749.7270554843398,-2349.4137665211456,False,False,True
1507668449183333326,227.48336791992188,19.073076248168945,119.06513977050781,12.696518898010254,8.710071563720703,19.351594924926758,49.83062744140625,121.58448791503906,289.8556823730469,121.1569595336914,170.0908660888672,121.54000854492188,-2317.0444671437963,-94.97644367027372,-2318.9902085981157,-1518.443091570953,246.19133631886052,-1538.2716263449768,-2228.893089827755,750.9372311480685,-2351.993012533465,False,False,True
1507668449191666659,227.51651000976562,19.125234603881836,118.9102783203125,12.670941352844238,8.898078918457031,19.36052131652832,49.87903594970703,121.58866882324219,289.9014892578125,121.15454864501953,170.14117431640625,121.53994750976562,-2323.435227976237,-95.85852771874305,-2325.4118164182,-1516.2051765901008,240.38173155742172,-1535.1421805113566,-2228.1081013968083,756.6402410247969,-2353.0767445725505,False,False,True
1507668449199999992,227.94154357910156,19.19541358947754,118.79888916015625,12.694291114807129,9.268556594848633,19.327096939086914,49.92613983154297,121.5904541015625,289.9457092285156,121.15363311767578,170.1872100830078,121.5361099243164,-2332.5790725146267,-80.82759244800577,-2333.9790550118773,-1519.6361771008008,236.69659322417655,-1537.9594884123144,-2219.8785824541696,767.8925963216521,-2348.9401781067863,False,False,True
1507668449208333325,228.3453369140625,19.19715118408203,118.79545593261719,12.734426498413086,9.428078651428223,19.259050369262695,49.97178649902344,121.58644104003906,289.99053955078125,121.15577697753906,170.2286376953125,121.53772735595703,-2333.1729206802925,-66.24934314304193,-2334.113290580106,-1524.667243898048,236.16492411553247,-1542.8493367785998,-2210.5104260068842,769.7569906485874,-2340.701212914093,False,False,True
1507668449216666658,228.40591430664062,19.192157745361328,118.80523681640625,12.75080680847168,9.404537200927734,19.243896484375,50.014949798583984,121.58413696289062,290.0348815917969,121.15792846679688,170.2714080810547,121.54127502441406,-2332.5418504697,-65.52192167640925,-2333.4619359254143,-1526.7978994892705,235.55197187409175,-1544.8613391947583,-2209.724302237991,766.6168304895868,-2338.9277151487768,False,False,True
1507668449224999991,228.3336181640625,19.204082489013672,118.86322784423828,12.727448463439941,9.4578218460083,19.264041900634766,50.059051513671875,121.5908203125,290.0801086425781,121.16312408447266,170.3177490234375,121.54373168945312,-2333.981419463459,-70.30792202297485,-2335.040143188089,-1524.0138765151826,235.47005989938074,-1542.0974174545045,-2211.9892345915014,767.7029502581953,-2341.4235400251346,False,False,True
1507668449233333324,228.2388458251953,19.214284896850586,118.78672790527344,12.687639236450195,9.507040023803711,19.25685691833496,50.10822296142578,121.59464263916016,290.1275634765625,121.1679916381836,170.36572265625,121.54454040527344,-2335.1106830666413,-76.21420195712177,-2336.3541055995593,-1519.81235344727,231.45553435159752,-1537.3357649104876,-2211.162263058279,767.4697530956455,-2340.5658237891325,False,False,True
1507668449241666657,228.31536865234375,19.27789306640625,118.54586791992188,12.669955253601074,9.688854217529297,19.23581886291504,50.158119201660156,121.59489440917969,290.17498779296875,121.17042541503906,170.412841796875,121.53995513916016,-2342.8811131439033,-75.37788523883432,-2344.093371841125,-1518.868283966093,223.4982350011884,-1535.2238680683513,-2206.854964612474,771.7925354751804,-2337.920561663704,False,False,True
1507668449249999990,228.7662353515625,19.335866928100586,118.45297241210938,12.6935453414917,10.06822395324707,19.189208984375,50.20294189453125,121.59232330322266,290.21807861328125,121.16820526123047,170.45538330078125,121.52877044677734,-2350.3538748272304,-58.94808888974604,-2351.0929828696967,-1522.195515569438,220.2980929659596,-1538.054107430602,-2196.741204728645,782.779140335186,-2332.040973717347,False,False,True
1507668449258333323,229.19480895996094,19.334516525268555,118.44793701171875,12.75318431854248,10.22412109375,19.126930236816406,50.24128723144531,121.58344268798828,290.2578125,121.16126251220703,170.49441528320312,121.521728515625,-2350.3649962880963,-42.93299536901806,-2350.757081849951,-1529.432191258957,220.12546559999555,-1545.1919130854876,-2187.8888859749695,784.657639354101,-2324.3376235757023,False,False,True
1507668449266666656,229.26043701171875,19.30409049987793,118.49678039550781,12.76750373840332,10.176424026489258,19.104333877563477,50.27655792236328,121.57278442382812,290.2977294921875,121.15372467041016,170.5322265625,121.52075958251953,-2346.4829789026503,-41.618430581980526,-2346.8520328397276,-1531.0198478142086,220.5974426558253,-1546.830632650948,-2186.4539102979875,780.4622056850748,-2321.5731641195744,False,False,True
1507668449274999990,229.13824462890625,19.29839324951172,118.69093322753906,12.703728675842285,10.309507369995117,19.1363468170166,50.31140899658203,121.56897735595703,290.33428955078125,121.14608764648438,170.56784057617188,121.51829528808594,-2345.594151563838,-48.03411571497689,-2346.0859319562446,-1522.6667625254267,223.67065365134556,-1539.0070276007466,-2188.740258281964,785.4786987089899,-2325.416243245447,False,False,True
1507668449283333323,228.9824981689453,19.310775756835938,118.84314727783203,12.620312690734863,10.487024307250977,19.169038772583008,50.347965240478516,121.57028198242188,290.3671569824219,121.13929748535156,170.60528564453125,121.51403045654297,-2346.949810338161,-55.942855816222,-2347.616454057861,-1512.1176526291827,225.3397344287987,-1528.8158134010882,-2190.4724536677318,792.150415704166,-2329.307161234305,False,False,True
1507668449291666656,228.8747100830078,19.326356887817383,118.85458374023438,12.571598052978516,10.550312042236328,19.191484451293945,50.389835357666016,121.56705474853516,290.401611328125,121.1375961303711,170.6340789794922,121.48158264160156,-2348.626871290367,-62.12139273327686,-2349.4482858710257,-1506.3497509467654,223.86162670970123,-1522.8931676550708,-2191.9740117534475,794.1859981799076,-2331.411904384877,False,False,True
1507668449299999989,228.87095642089844,19.371265411376953,118.8942642211914,12.58537483215332,10.580245971679688,19.244325637817383,50.43305587768555,121.5536117553711,290.436279296875,121.13691711425781,170.64154052734375,121.41436767578125,-2353.772208521196,-64.18862963792662,-2354.647275024763,-1507.9724430394374,224.2376183133903,-1524.5535078944233,-2196.4808278484265,796.7936138359225,-2336.5376286624232,False,False,True
1507668449308333322,229.03384399414062,19.408540725708008,119.02906036376953,12.615799903869629,10.729841232299805,19.27532958984375,50.47071838378906,121.53633117675781,290.46832275390625,121.13330841064453,170.6499786376953,121.36808013916016,-2358.101115684544,-59.14930604039424,-2358.84283329724,-1511.1673939497045,227.48346589961668,-1528.1935806024198,-2197.208673727704,803.1886487628275,-2339.4097463688813,False,False,True
1507668449316666655,229.34054565429688,19.467233657836914,119.1080551147461,12.623344421386719,11.118013381958008,19.28098487854004,50.50724792480469,121.52954864501953,290.50347900390625,121.13214874267578,170.679443359375,121.36021423339844,-2365.353645854595,-48.17187201870964,-2365.8441198040528,-1511.882029951647,228.7741741292173,-1529.0928340814426,-2192.6382306181076,817.1154413011596,-2339.9444554905344,False,False,True
1507668449324999988,229.5523681640625,19.5168514251709,119.13170623779297,12.58080005645752,11.52229118347168,19.27424430847168,50.54869079589844,121.52848052978516,290.5443420410156,121.13360595703125,170.7198486328125,121.35945892333984,-2371.494705588814,-41.24234015335454,-2371.8532984265917,-1506.873097651227,227.55321978705368,-1523.9576766631217,-2186.626414683765,830.7281253350458,-2339.1118604323856,False,False,True
1507668449333333321,229.58518981933594,19.505586624145508,119.27523803710938,12.518112182617188,11.724160194396973,19.263370513916016,50.59400939941406,121.52777862548828,290.5890808105469,121.13890838623047,170.76275634765625,121.35853576660156,-2370.103182806325,-41.73524875064104,-2370.4706132194406,-1499.0375985821836,229.01434918159538,-1516.430444858619,-2183.0643190680507,836.3130447289983,-2337.7744394983747,False,False,True
1507668449341666654,229.61782836914062,19.479774475097656,119.47378540039062,12.533589363098145,11.679425239562988,19.2769775390625,50.64070129394531,121.53129577636719,290.6382751464844,121.14234161376953,170.8112030029297,121.36618041992188,-2367.024983932365,-42.261804268708076,-2367.402233390021,-1500.3306943628693,233.21570023797233,-1518.3483642711433,-2186.1022530361056,833.4022968543837,-2339.573133956641,False,False,True
1507668449349999987,229.79730224609375,19.41541862487793,119.71417999267578,12.594561576843262,11.563426971435547,19.262969970703125,50.685203552246094,121.52811431884766,290.6858825683594,121.13459777832031,170.86019897460938,121.36892700195312,-2359.2358995920417,-36.56353674745317,-2359.519214192449,-1506.7359707850821,239.40641231874469,-1525.6371508051961,-2186.952355629261,826.5212386780585,-2337.9259962150827,False,False,True
1507668449358333320,229.9667510986328,19.356788635253906,119.97028350830078,12.63306713104248,11.532779693603516,19.24574851989746,50.72624206542969,121.52310180664062,290.72894287109375,121.1295166015625,170.90475463867188,121.3678207397461,-2352.0903362880863,-31.18023728481709,-2352.2969959715842,-1510.3758275836178,245.74600503546833,-1530.2373147782637,-2186.0592430372308,822.906208300075,-2335.8145563651487,False,False,True
1507668449366666653,229.98818969726562,19.342254638671875,120.10313415527344,12.64140510559082,11.49736499786377,19.249107360839844,50.76825714111328,121.52413177490234,290.7742004394531,121.13081359863281,170.950927734375,121.37960052490234,-2350.332854344662,-32.00116042481619,-2350.550701533677,-1511.0111651554942,248.22113772801805,-1531.2636854701268,-2187.8228744285325,820.0151350938014,-2336.4489619196975,False,False,True
1507668449374999986,229.95582580566406,19.33488655090332,120.12222290039062,12.6329345703125,11.43541431427002,19.251237869262695,50.8105354309082,121.52278900146484,290.8199462890625,121.12696075439453,170.99688720703125,121.39192962646484,-2349.3679100117056,-35.049288903656276,-2349.6293386926845,-1510.0659052597089,247.34438625062077,-1530.1889699110761,-2189.8281288592434,816.0663519638548,-2336.944912647872,False,False,True
1507668449383333319,229.8480987548828,19.36287498474121,120.11416625976562,12.645350456237793,11.392095565795898,19.312007904052734,50.84820556640625,121.52237701416016,290.8587951660156,121.11711883544922,171.03750610351562,121.39175415039062,-2352.6641406759136,-41.07029253273133,-2353.022593973772,-1511.6293745490498,246.32994241523605,-1531.568413924055,-2197.93448635389,815.4221584338409,-2344.31851563917,False,False,True
1507668449391666652,230.03707885742188,19.4722957611084,120.35604858398438,12.668665885925293,11.810266494750977,19.429094314575195,50.88621520996094,121.52188873291016,290.8929443359375,121.10832977294922,171.0766143798828,121.38328552246094,-2366.050296526657,-35.06796558059788,-2366.310158855733,-1513.4019792813046,252.25489374449378,-1534.2809658959522,-2205.63061465034,834.9191133434986,-2358.3673026289034,False,False,True
1507668449399999985,230.88809204101562,19.59876823425293,120.79634094238281,12.68484115600586,12.739789962768555,19.447769165039062,50.92837905883789,121.51590728759766,290.9302062988281,121.10657501220703,171.11849975585938,121.37694549560547,-2381.5615149736345,-1.6745740755444707,-2381.5621037045935,-1513.4981979844008,263.22599611844373,-1536.2176669777546,-2194.42440915482,869.777462454116,-2360.510817956063,False,False,True
1507668449408333318,231.6805877685547,19.605073928833008,121.10276794433594,12.697434425354004,13.333721160888672,19.33706283569336,50.97126007080078,121.50984954833984,290.9726257324219,121.10845184326172,171.16229248046875,121.37987518310547,-2382.0270287856893,29.491248567599662,-2382.2095834765787,-1513.7940536537099,270.4695140722373,-1537.7666256359587,-2173.5808442496686,885.7577737970871,-2347.130273404328,False,False,True
1507668449416666651,231.89767456054688,19.538530349731445,121.21186828613281,12.703948974609375,13.419111251831055,19.255916595458984,51.011375427246094,121.50382232666016,291.0164794921875,121.106689453125,171.2054901123047,121.38462829589844,-2373.722093833485,36.721651632707044,-2374.0061201378267,-1514.2395435301669,272.32888655983703,-1538.5332032963634,-2163.8942215671013,883.6690363888863,-2337.372278436611,False,False,True
1507668449424999984,231.76922607421875,19.45640754699707,121.206787109375,12.6832914352417,13.260712623596191,19.221406936645508,51.04784393310547,121.50261688232422,291.0557556152344,121.1030502319336,171.24578857421875,121.38472747802734,-2363.8170629498036,29.763196140429525,-2364.0044320891466,-1511.9418817230294,270.7074546780257,-1535.9852797883286,-2163.0639523840337,874.590026743032,-2333.1852427489794,False,False,True
1507668449433333317,231.425537109375,19.368608474731445,121.28446197509766,12.647563934326172,12.927016258239746,19.23353385925293,51.09086608886719,121.51129150390625,291.0972595214844,121.10701751708984,171.2896728515625,121.39060974121094,-2353.4644813939485,13.747004128594002,-2353.5046303981217,-1507.5615683083956,270.90552453038487,-1531.7087469429534,-2170.2539758561566,860.900989304062,-2334.770402652939,False,False,True
1507668449441666650,231.26040649414062,19.375585556030273,121.5965805053711,12.640321731567383,12.906184196472168,19.33525276184082,51.14378356933594,121.51910400390625,291.1494445800781,121.1109619140625,171.34422302246094,121.39961242675781,-2354.498918880872,4.7924809107581,-2354.503796319827,-1505.5035328746726,277.59206122469635,-1530.8815238133539,-2183.0302797523495,862.6467583997354,-2347.292191460874,False,False,True
1507668449449999983,231.4527587890625,19.45524787902832,121.86373901367188,12.628353118896484,13.311769485473633,19.410436630249023,51.19542694091797,121.52045440673828,291.20098876953125,121.1063003540039,171.39871215820312,121.39873504638672,-2364.1867178599605,10.618314880298886,-2364.210562855252,-1502.96589345223,282.97646725252594,-1529.3731257934999,-2186.1552708703675,879.4075591136685,-2356.4024536102806,False,False,True
