,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1507668449108333329,30.923534393310547,53.357460021972656,266.0002746582031,57.4476203918457,142.12582397460938,37.33484649658203,49.39179229736328,121.25419616699219,289.4207458496094,120.97631072998047,169.59251403808594,121.2749252319336,6136.61586089454,2049.503323351799,6469.815924476716,6377.225614179307,2762.3775703134593,6949.801175221887,4017.4053319853456,2088.361229185302,4527.780717418704,False,False
1507668449116666662,31.01731300354004,53.53164291381836,266.0392150878906,57.42002487182617,142.2582550048828,37.26062774658203,49.43161392211914,121.25194549560547,289.462646484375,120.97608184814453,169.63253784179688,121.2766342163086,6158.46788160281,2050.3569775268884,6490.815848876518,6374.007533733108,2761.3747306043815,6946.449628616539,4012.8318112339084,2077.769869378441,4518.843521892268,False,False
1507668449124999995,31.13265609741211,53.698734283447266,266.01422119140625,57.38243865966797,142.2213897705078,37.019405364990234,49.47061538696289,121.25452423095703,289.50433349609375,120.9767074584961,169.67556762695312,121.27777099609375,6180.557065914017,2048.56738355226,6511.2144773439795,6366.6522351992,2766.992841370941,6941.938494985749,3984.007971106494,2069.8953353786087,4489.63096626685,False,False
1507668449133333328,31.189476013183594,53.6398811340332,266.01812744140625,57.2719841003418,142.12539672851562,36.91489791870117,49.51402282714844,121.25493621826172,289.545654296875,120.97848510742188,169.7183837890625,121.27619934082031,6174.283088253738,2044.883838439928,6504.100365662336,6352.685769065452,2765.856218737403,6928.677875555702,3967.697332464073,2073.643707127309,4476.898518634436,False,False
1507668449141666661,31.20462417602539,53.49689483642578,266.07781982421875,57.25393295288086,142.13034057617188,36.95161056518555,49.554237365722656,121.25142669677734,289.58349609375,120.9736099243164,169.75685119628906,121.27037048339844,6156.753453892674,2042.067540336896,6486.574822764087,6351.481555063347,2762.4510154015907,6926.214951674773,3970.237293947539,2077.9295531303515,4481.135503198311,False,False
1507668449149999994,31.217695236206055,53.60055160522461,266.1671142578125,57.33359146118164,142.3691864013672,37.03601837158203,49.59013748168945,121.25061798095703,289.61859130859375,120.96912384033203,169.7935791015625,121.26780700683594,6167.826065681608,2048.468333849682,6499.100006253662,6362.696480476519,2760.1742966193437,6935.594325678685,3986.544276024703,2068.5819743112834,4491.27672818664,False,False
1507668449158333327,31.285114288330078,53.89036560058594,266.229736328125,57.26434326171875,142.4893798828125,37.11811447143555,49.629146575927734,121.25294494628906,289.6598205566406,120.97175598144531,169.8349609375,121.27225494384766,6202.3145051180445,2056.508619584074,6534.3655333032375,6356.178731907678,2754.5274631451416,6927.368159494362,3998.375629575691,2067.7454506275235,4501.397441214853,False,False
1507668449166666660,31.450302124023438,53.95528030395508,266.25885009765625,57.17495346069336,142.46615600585938,37.144989013671875,49.67351531982422,121.25587463378906,289.7079772949219,120.97395324707031,169.88217163085938,121.27570343017578,6214.263724949027,2045.9361731286408,6542.394704367325,6345.457549338011,2752.3867358130688,6916.680146857339,3998.837497536948,2074.218793962452,4504.784671539208,False,False
1507668449174999993,31.514816284179688,53.75706481933594,266.32122802734375,57.1573486328125,142.51727294921875,37.073448181152344,49.7213249206543,121.25536346435547,289.7563171386719,120.97528076171875,169.93006896972656,121.27467346191406,6192.002321635942,2036.6062363065112,6518.332433445495,6344.247294420516,2750.01511167728,6914.626298449934,3991.2182096622214,2069.9820157952304,4496.070322276442,False,False
1507668449183333326,31.462284088134766,53.68659210205078,266.3916015625,57.19661331176758,142.5869140625,36.98149871826172,49.76999282836914,121.2551040649414,289.8039855957031,120.97754669189453,169.97781372070312,121.27542877197266,6180.269572026352,2044.8512399825238,6509.773312226228,6349.814478486705,2749.4397220648643,6919.5059575425985,3982.1328213670286,2063.3392366656376,4484.947113687347,False,False
